hood,muni,county,weighted_otp,route_count,stop_count,total_trips_7d,unweighted_otp,otp_gap,bus_weighted_otp,bus_route_count
North Shore,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7448523769530591,17,9,9726,0.7213231833612681,0.023529193591790953,0.7065566073812345,14
Crafton Heights,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7465510357980704,4,28,6315,0.7286597569444444,0.017891278853625958,0.7465510357980704,4
Allegheny West,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7481900797997184,2,11,1540,0.7756530120481928,-0.027462932248474403,0.7481900797997184,2
Arlington-Arlington Heights,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7499313253012049,1,8,1992,0.7499313253012049,0.0,0.7499313253012049,1
Bon Air,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7527526662778753,3,13,2185,0.7881772612053152,-0.03542459492743988,0.6672096385542169,1
Allentown,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7541561720567705,5,19,4298,0.7348537710843374,0.019302400972433187,0.7541561720567705,5
Fineview,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7557734939759037,1,11,1650,0.7557734939759037,0.0,0.7557734939759037,1
Duquesne Heights,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7615112500000001,1,12,1974,0.7615112500000001,0.0,0.7615112500000001,1
Chateau,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7667533921828714,3,19,2843,0.7692244979919679,-0.0024711058090964855,0.7667533921828714,3
Mount Washington,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7787980216190902,10,95,18191,0.7778694034843077,0.0009286181347825107,0.7688656501567446,7
Fairywood,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7843629629629628,1,9,1647,0.7843629629629629,-1.1102230246251565e-16,0.7843629629629628,1
Chartiers City,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7843629629629629,1,6,1098,0.7843629629629629,0.0,0.7843629629629629,1
Windgap,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7886454475617902,2,19,3493,0.7943621064814814,-0.005716658919691198,0.7886454475617902,2
Sheraden,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7902601476314554,6,43,9905,0.7497325985264455,0.040527549105009886,0.7902601476314554,6
Brookline,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.7917148009708954,4,61,12457,0.8126289583333334,-0.020914157362437957,0.7865803651358544,2
Beechview,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.8070230380887452,3,27,7008,0.774742829218107,0.032280208870638205,0.7547167297979798,2
Overbrook,"Pittsburgh city (Allegheny, PA)","Allegheny County, PA",0.8392013141829296,3,3,1226,0.8289090277777778,0.010292286405151896,0.789404938271605,1
