city,month,upt,index
Denver,2024-12,4978833,56.788736192093424
Denver,2025-01,4930230,56.23436874390942
Denver,2025-02,4659739,53.14913932542209
Denver,2025-03,5249493,59.875893230249154
Denver,2025-04,5437691,62.022485930562574
Denver,2025-05,5339371,60.901044712830114
Denver,2025-06,5261642,60.01446513173646
Denver,2025-07,5240240,59.77035320189603
Denver,2025-08,5701463,65.03107820968921
Denver,2025-09,5782653,65.9571340728676
Denver,2025-10,5955602,67.92979616771721
Denver,2025-11,5164225,58.90332356229134
Denver,2025-12,5254917,59.937759556174505
Minneapolis,2019-01,5609655,86.38296774207457
Minneapolis,2019-02,5755986,88.63631595202072
Minneapolis,2019-03,6616647,101.8896178751981
Minneapolis,2019-04,6883071,105.99227584573543
Minneapolis,2019-05,6858634,105.615970960192
Minneapolis,2019-06,6296585,96.96098939065425
Minneapolis,2019-07,6686132,102.95961603258176
Minneapolis,2019-08,7218383,111.15573878232074
Minneapolis,2019-09,6920909,106.57494246844654
Minneapolis,2019-10,7136946,109.9016920104584
Minneapolis,2019-11,6129083,94.38162936535271
Minneapolis,2019-12,5815206,89.54824357496469
Minneapolis,2020-01,6002222,92.42809930499652
Minneapolis,2020-02,6055322,93.24578516751465
Minneapolis,2020-03,4241772,65.31896415113498
Minneapolis,2020-04,1968148,30.307472597803
Minneapolis,2020-05,1737067,26.749060793724794
Minneapolis,2020-06,1826009,28.118676913952434
Minneapolis,2020-07,2396736,36.90729083593712
Minneapolis,2020-08,2381551,36.67345731762567
Minneapolis,2020-09,2346291,36.13048926654489
Minneapolis,2020-10,2469337,38.02527221643955
Minneapolis,2020-11,2270821,34.96832821109774
Minneapolis,2020-12,2209688,34.02694233853049
Minneapolis,2021-01,2254350,34.714691603912506
Minneapolis,2021-02,2050430,31.574531508155484
Minneapolis,2021-03,2625886,40.43596720874371
Minneapolis,2021-04,2440466,37.58068825152879
Minneapolis,2021-05,2576059,39.66868220927684
Minneapolis,2021-06,2625168,40.424910740772184
Minneapolis,2021-07,2738525,42.17049296897309
Minneapolis,2021-08,2848910,43.87030942724172
Minneapolis,2021-09,3331775,51.305938127897434
Minneapolis,2021-10,3474115,53.49782900682081
Minneapolis,2021-11,3076119,47.369096378972095
Minneapolis,2021-12,2819326,43.414745989261746
Minneapolis,2022-01,2513830,38.71041905412353
Minneapolis,2022-02,2694317,41.48973484072071
Minneapolis,2022-03,3203796,49.33519200738504
Minneapolis,2022-04,3193880,49.18249571712647
Minneapolis,2022-05,3262489,50.23900436762566
Minneapolis,2022-06,3292333,50.698571540525684
Minneapolis,2022-07,3203748,49.33445285632288
Minneapolis,2022-08,3495219,53.822809090485265
Minneapolis,2022-09,3835542,59.06343631816434
Minneapolis,2022-10,3643778,56.110466228900165
Minneapolis,2022-11,3341771,51.45986633659294
Minneapolis,2022-12,3113938,47.951470421054445
Minneapolis,2023-01,3281627,50.53371005570234
Minneapolis,2023-02,3170159,48.817216501593656
Minneapolis,2023-03,3746652,57.69462094492071
Minneapolis,2023-04,3628426,55.87406108085161
Minneapolis,2023-05,3889869,59.900016729709016
Minneapolis,2023-06,3746374,57.69034002835234
Minneapolis,2023-07,3538910,54.49560594583893
Minneapolis,2023-08,3995731,61.53018359934922
Minneapolis,2023-09,4116809,63.39466135569518
Minneapolis,2023-10,4255795,65.5349040541499
Minneapolis,2023-11,3929261,60.50661336805769
Minneapolis,2023-12,3677498,56.62971985006988
Minneapolis,2024-01,3708544,57.107796597484906
Minneapolis,2024-02,3860129,59.442051050777025
Minneapolis,2024-03,4001240,61.615016582712926
Minneapolis,2024-04,4060928,62.534150928512965
Minneapolis,2024-05,4079697,62.823174392799274
Minneapolis,2024-06,3782283,58.24330201775278
Minneapolis,2024-07,3827977,58.94694303097131
Minneapolis,2024-08,4212689,64.87111560236634
Minneapolis,2024-09,4295837,66.15151002979869
Minneapolis,2024-10,4274666,65.8254982144433
Minneapolis,2024-11,3821458,58.84655707734127
Minneapolis,2024-12,3633007,55.94460381034681
Minneapolis,2025-01,3418481,52.641122127812636
Minneapolis,2025-02,3274425,50.422806598416926
Minneapolis,2025-03,3771116,58.071341602936585
Minneapolis,2025-04,3913629,60.265896505479844
Minneapolis,2025-05,3812793,58.71312491164032
Minneapolis,2025-06,3678908,56.65143241252092
Minneapolis,2025-07,3708702,57.11022963639786
