route_id,route_name,mode,avg_otp,weighted_iri,weighted_opi,poor_share,penndot_lanes,match_rate,penndot_match_rate,n_segments,stop_count,span_km
P78,OAKMONT FLYER,BUS,0.5961602409638553,176.69082383311044,79.89205380858051,0.3592108966714017,2.2311649287590543,0.32653061224489793,0.6548927263212978,51,149,18.377446047902815
61B,BRADDOCK-SWISSVALE,BUS,0.5842313253012048,176.53741320421167,84.22547830744683,0.15303994235782326,2.290013853939891,0.6787020109689214,0.979890310786106,56,137,12.970818848103756
31,BRIDGEVILLE,BUS,0.6748740740740741,174.49712284589867,81.33109162100517,0.3303997674483119,2.1248982565329424,0.5923511516731855,0.9578444154715341,65,128,14.177868183201774
19L,EMSWORTH LIMITED,BUS,0.6602963855421686,173.580667888177,81.86916149046647,0.16627278045736985,2.071844393547786,0.6041561074505829,0.9315762797769893,52,81,12.13634801782539
56,LINCOLN PLACE,BUS,0.6623096385542169,173.0115319509213,78.8226088077261,0.36837787211973383,2.2882729178751653,0.8196509372979961,0.9751131221719457,79,142,18.414636794317335
91,BUTLER STREET,BUS,0.6465373493975903,171.9144313020761,78.07441751170137,0.33239088463181016,2.2231636189604664,0.3607103218645949,0.7980022197558269,40,158,13.419994427708412
G31,BRIDGEVILLE FLYER,BUS,0.7341548780487804,170.79465217234002,81.86742516589689,0.30963927112872736,2.1318453955221437,0.5106635071090048,0.6492890995260664,61,78,14.177868183201774
93,LAWRENCEVILLE - HAZELWOOD,BUS,0.6605530120481927,169.50677460791414,80.573292522184,0.23032425658697647,2.3767999631956407,0.5955105633802817,0.9247359154929577,63,173,8.902574050474298
58,GREENFIELD,BUS,0.6076132530120482,168.02374292446356,84.32205662277663,0.23043243092746396,2.4033068844446506,0.6435908887896382,0.9950870924519875,55,102,6.756924482527202
22,MCCOY,BUS,0.7232444444444445,167.98828744546674,83.36347093743996,0.3824416352245164,2.0773390569005077,0.5117682558841279,0.9203379601689801,46,65,8.91323125286527
G2,WEST BUSWAY,BUS,0.8168280487804878,167.1454507173118,86.70507961264994,0.26423830993989667,2.175135135135135,0.3373134328358209,0.4811940298507463,37,24,8.890523063033768
48,ARLINGTON,BUS,0.7499313253012049,167.10005798471963,87.31193495138805,0.42199140623302467,2.075348154599189,0.3140218303946264,0.9504617968094039,19,89,3.9666806534948136
54,NORTH SIDE-OAKLAND-SOUTH SIDE,BUS,0.6672096385542169,165.97821518618247,86.9235442793729,0.13746516047367327,2.2733644468418004,0.4199772985244041,0.7806469920544835,71,211,7.796044980917041
P7,MCKEESPORT FLYER,BUS,0.7169891566265061,161.38014153065407,82.42323228062304,0.21506836880441296,2.124104362269026,0.46987951807228917,0.5997904662126768,69,101,16.690814353560626
77,PENN HILLS,BUS,0.5577253012048192,160.95641804621147,81.45898200296632,0.2379881722045883,2.291704000963592,0.7291533375986351,0.9739816592023885,96,258,21.55636545853036
51,CARRICK,BUS,0.7006710843373495,160.79296272623498,79.85121839231165,0.2330904656762939,2.1533407998913954,0.3639344262295082,0.8633879781420765,36,141,12.104660004294889
61D,MURRAY,BUS,0.6678686746987952,159.76753748745585,85.25683418464398,0.07903878087883463,2.3764842054497226,0.6335877862595419,0.6450381679389313,26,75,5.6385721010378065
69,TRAFFORD,BUS,0.6026573170731707,158.5468639320064,83.44143713875268,0.2519265741136925,2.164810518373937,0.6362246847535346,0.873137179977073,108,209,22.574311709378655
