route_id,change_month,old_pick,new_pick,trips_before,trips_after,trip_delta,otp_before,otp_after,otp_delta,n_before,n_after,event_type,is_covid
28X,2020-04,2003,2003EMERG,240,240,0,0.6730666666666667,0.6845,0.011433333333333295,3,3,neutral,true
28X,2020-09,2003EMERG,2009,240,80,-160,0.6887,0.6678000000000001,-0.02089999999999992,3,3,cut,false
28X,2020-12,2009,2011,80,80,0,0.6678000000000001,0.6610333333333333,-0.00676666666666681,3,3,neutral,false
29,2019-04,1811,1903,44,44,0,0.6525333333333333,0.5879333333333333,-0.06459999999999999,3,3,neutral,false
29,2019-07,1903,1906,44,44,0,0.5879333333333333,0.6022333333333333,0.01429999999999998,3,3,neutral,false
29,2019-09,1906,1909,44,44,0,0.6071666666666666,0.5621333333333333,-0.04503333333333337,3,3,neutral,false
29,2019-12,1909,1911,44,44,0,0.5621333333333333,0.5355666666666666,-0.026566666666666627,3,3,neutral,false
29,2020-03,1911,2003,44,132,88,0.5355666666666666,0.6220666666666667,0.08650000000000002,3,3,increase,true
29,2020-04,2003,2003EMERG,132,102,-30,0.5677333333333333,0.6299666666666667,0.06223333333333336,3,3,cut,true
29,2020-09,2003EMERG,2009,102,44,-58,0.6385,0.6151666666666668,-0.023333333333333206,3,3,cut,false
29,2020-12,2009,2011,44,44,0,0.6151666666666668,0.6187,0.0035333333333332773,3,3,neutral,false
31,2019-04,1811,1903,68,68,0,0.7155666666666667,0.6483666666666666,-0.06720000000000004,3,3,neutral,false
31,2019-07,1903,1906,68,68,0,0.6483666666666666,0.6484333333333333,0.00006666666666665932,3,3,neutral,false
31,2019-09,1906,1909,68,68,0,0.6675333333333334,0.5877333333333333,-0.0798000000000001,3,3,neutral,false
31,2019-12,1909,1911,68,68,0,0.5877333333333333,0.6721666666666666,0.08443333333333325,3,3,neutral,false
31,2020-03,1911,2003,68,204,136,0.6721666666666666,0.6678000000000001,-0.004366666666666519,3,3,increase,true
31,2020-04,2003,2003EMERG,204,138,-66,0.6727333333333334,0.6552666666666668,-0.01746666666666663,3,3,cut,true
31,2020-09,2003EMERG,2009,138,68,-70,0.6517,0.5343666666666668,-0.11733333333333318,3,3,cut,false
31,2020-12,2009,2011,68,62,-6,0.5343666666666668,0.5735666666666667,0.0391999999999999,3,3,cut,false
36,2019-04,1811,1903,42,42,0,0.6831999999999999,0.6669333333333333,-0.01626666666666665,3,3,neutral,false
36,2019-07,1903,1906,42,42,0,0.6669333333333333,0.6892999999999999,0.022366666666666646,3,3,neutral,false
36,2019-09,1906,1909,42,42,0,0.6747666666666667,0.6833666666666667,0.008599999999999941,3,3,neutral,false
36,2019-12,1909,1911,42,42,0,0.6833666666666667,0.7411333333333333,0.05776666666666663,3,3,neutral,false
36,2020-03,1911,2003,42,126,84,0.7411333333333333,0.7148666666666667,-0.02626666666666666,3,3,increase,true
36,2020-04,2003,2003EMERG,126,90,-36,0.7647333333333334,0.7068666666666666,-0.05786666666666673,3,3,cut,true
36,2020-09,2003EMERG,2009,90,42,-48,0.7106333333333333,0.72565,0.015016666666666678,3,2,cut,false
36,2020-12,2009,2011,42,32,-10,0.72565,0.7408,0.015149999999999997,2,3,cut,false
38,2019-04,1811,1903,123,123,0,0.6166999999999999,0.6412666666666667,0.024566666666666737,3,3,neutral,false
38,2019-07,1903,1906,123,123,0,0.6412666666666667,0.7188,0.07753333333333334,3,3,neutral,false
38,2019-09,1906,1909,123,123,0,0.7051666666666666,0.6647666666666666,-0.04039999999999999,3,3,neutral,false
38,2019-12,1909,1911,123,123,0,0.6647666666666666,0.7177666666666666,0.052999999999999936,3,3,neutral,false
38,2020-03,1911,2003,123,369,246,0.7177666666666666,0.7362000000000001,0.018433333333333524,3,3,increase,true
38,2020-04,2003,2003EMERG,369,321,-48,0.7365666666666666,0.7200000000000001,-0.016566666666666507,3,3,cut,true
38,2020-09,2003EMERG,2009,321,123,-198,0.7149999999999999,0.7130666666666666,-0.0019333333333332314,3,3,cut,false
38,2020-12,2009,2011,123,74,-49,0.7130666666666666,0.6829666666666666,-0.030100000000000016,3,3,cut,false
