current_garage,month,weighted_otp,unweighted_otp,total_riders,n_routes
East Liberty,2024-01,0.6585143532921429,0.6544233333333334,34496.04545454545,30
East Liberty,2024-02,0.6321846054734582,0.6434933333333334,37808.428571428565,30
East Liberty,2024-03,0.6770637795499969,0.6793933333333333,36763.761904761894,30
East Liberty,2024-04,0.6432696832981696,0.64845,39856.818181818184,30
East Liberty,2024-05,0.6380144538561594,0.62575,37252.09090909092,30
East Liberty,2024-06,0.6656435942433417,0.6461233333333334,34759.75,30
East Liberty,2024-07,0.6689707321559971,0.6541866666666666,33851.45454545455,30
East Liberty,2024-08,0.630830762723863,0.62288,37883.36363636363,30
East Liberty,2024-09,0.6037521706180607,0.6047533333333334,46249.5,30
East Liberty,2024-10,0.5937688203620229,0.5733333333333334,44919.086956521736,30
Ross,2019-01,0.7033193245365913,0.7244545454545454,30789.636363636364,22
Ross,2019-02,0.6910857540682964,0.7096318181818182,33180.35,22
Ross,2019-03,0.7171966175862561,0.7244909090909091,32363.476190476213,22
Ross,2019-04,0.6665530562319829,0.6733272727272728,32497.68181818182,22
Ross,2019-05,0.6382237467395773,0.6457181818181819,33058.31818181819,22
Ross,2019-06,0.6559133802650017,0.6568863636363637,31648.850000000002,22
Ross,2019-07,0.7129226061230868,0.7195545454545454,32142.136363636346,22
Ross,2019-08,0.7179714739039783,0.7358363636363637,32243.68181818182,22
Ross,2019-09,0.7079248031540796,0.72,35205.2,22
Ross,2019-10,0.7141196380186122,0.7216272727272727,34563.39130434783,22
Ross,2019-11,0.7215314009342024,0.7205181818181818,32476.9,22
Ross,2019-12,0.7259586957714981,0.7427499999999999,30364.2380952381,22
Ross,2020-01,0.7476540867247137,0.7630727272727273,32090.045454545474,22
Ross,2020-02,0.743492131639345,0.7600954545454546,32699.95,22
Ross,2020-03,0.7604968742077398,0.7639136363636364,21335.681818181827,22
Ross,2020-04,0.7500376026980753,0.7336181818181818,10539.500000000007,22
Ross,2020-05,0.722201806593126,0.7118818181818182,13312.35,22
Ross,2020-06,0.6981535017140226,0.6897227272727272,15394.409090909094,22
Ross,2020-07,0.692688720731671,0.6914272727272727,13163.434782608692,22
Ross,2020-08,0.6943205821213337,0.6995681818181818,13171.857142857147,22
Ross,2020-09,0.6942927226368769,0.7002454545454545,13614.952380952383,22
Ross,2020-10,0.7020535473306507,0.7103818181818181,13351.90909090908,22
Ross,2020-11,0.7184542725205957,0.7335333333333334,10578.65,18
Ross,2020-12,0.6948328841972657,0.693490909090909,11979.227272727265,22
Ross,2021-01,0.7208106753934111,0.7174136363636363,11657.65,22
Ross,2021-02,0.721571664752476,0.72165,11797.85,22
Ross,2021-03,0.7287257906201168,0.7323590909090908,12854.521739130436,22
Ross,2021-04,0.7248441875845383,0.7359000000000001,13677.227272727272,22
Ross,2021-05,0.7123453891042908,0.7263681818181819,13940.35,22
Ross,2021-06,0.7111471338910147,0.7297863636363636,14361.409090909094,22
Ross,2021-07,0.6970044583022489,0.7266681818181818,14936.28571428571,22
Ross,2021-08,0.7017162059910608,0.7301454545454547,15630.863636363636,22
Ross,2021-09,0.6851259129591298,0.7139681818181818,17967.476190476198,22
Ross,2021-10,0.7054193270933468,0.7302227272727273,18259.095238095244,22
Ross,2021-11,0.678199521148349,0.7058681818181818,17024.857142857138,22
