rank,ntd_id,agency_name,city,state,vrh_2019,vrh_2024,vrh_pct_change,upt_2019,upt_2024,upt_pct_change
24,80256,Town of Mountain Village - Transportation,Telluride,CO,348945.0,372276.0,6.686153978420668,3201985.0,3179406.0,-0.7051563327123643
25,20072,Suffolk County (SCT) - Public Works,Yaphank,NY,865090.0,921946.0,6.572264157486504,4427505.0,3960816.0,-10.540676972696811
26,40029,Broward County Board of County Commissioners (BCT),Fort Lauderdale,FL,1771985.0,1881518.0,6.18137286715181,27300455.0,25255144.0,-7.49185682070134
27,40941,"Rural Transit Enterprises Coordinated, Inc. (RTEC)",Mount Vernon,KY,293707.0,309707.0,5.447605947423793,606180.0,499362.0,-17.621498564782737
28,60172,"KI BOIS Community Action Foundation, Inc. (KATS)",Stigler,OK,274889.0,289135.0,5.182455463841769,636691.0,623101.0,-2.1344733944723577
29,40037,"Board of County Commissioners, Palm Beach County",West Palm Beach,FL,1114113.0,1165647.0,4.625563116129154,10102791.0,9611502.0,-4.862903726306919
30,24,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,383159.0,398112.0,3.902557423941497,6295062.0,4965694.0,-21.117631565820957
31,50005,City of Madison - Metro Transit,Madison,WI,460202.0,477911.0,3.8480927940339242,12969815.0,9297857.0,-28.311568052435597
32,90026,San Diego Metropolitan Transit System (MTS),San Diego,CA,2615111.0,2697864.0,3.1644163479102803,85357495.0,75682794.0,-11.33433098054248
33,20113,Regional Transit Service (RTS) - Monroe County,Rochester,NY,572955.0,586584.0,2.3787208419509387,14712832.0,10253425.0,-30.309643989681934
34,20188,MTA Bus Company (MTABUS),New York,NY,3302624.0,3372210.0,2.1069912893505287,135080070.0,126616665.0,-6.265472767374196
35,90003,San Francisco Bay Area Rapid Transit District (BART),Oakland,CA,2286795.0,2333890.0,2.059432524559482,128217031.0,54927366.0,-57.16063180405418
36,90157,Access Services (AS),El Monte,CA,2171933.0,2216396.0,2.047162596636268,4458330.0,4167464.0,-6.524102074095009
37,20098,Port Authority Trans-Hudson Corporation (PATH),New York,NY,992720.0,1008774.0,1.617173019582561,91672195.0,62489580.0,-31.83366014089659
38,50060,Champaign-Urbana Mass Transit District (C-U MTD),Urbana,IL,320517.0,324961.0,1.3865099199106443,11620837.0,9558020.0,-17.75101913915495
39,50154,Metropolitan Council (MC) - Metropolitan Transportation Services,Saint Paul,MN,1727963.0,1749485.0,1.2455127800768881,5244395.0,4363997.0,-16.787408271116117
40,20008,MTA New York City Transit (NYCT),Brooklyn,NY,36769630.0,37227435.0,1.2450628412632927,3451139593.0,2902018903.0,-15.91128597387918
41,40035,Central Florida Regional Transportation Authority (LYNX),Orlando,FL,1786525.0,1806903.0,1.1406501448342452,25020518.0,19621469.0,-21.578486104884
42,30010,Lehigh and Northampton Transportation Authority (LANTA),Allentown,PA,391500.0,395933.0,1.1323116219667944,4732570.0,4209277.0,-11.057269094804726
43,30030,Washington Metropolitan Area Transit Authority (WMATA),Washington,DC,9666812.0,9748485.0,0.8448804011084523,354656249.0,262474117.0,-25.99196609672596
44,19,Intercity Transit (I.T.),Olympia,WA,401362.0,404567.0,0.7985310019383997,4736809.0,4589073.0,-3.1188929087071062
45,40034,County of Miami-Dade (DTPW) - Transportation & Public Works,Miami,FL,3610204.0,3627504.0,0.4791972974380395,79578621.0,88249709.0,10.896253153218122
46,20080,New Jersey Transit Corporation (NJ TRANSIT),Newark,NJ,8950906.0,8991870.0,0.45765199634539794,267270251.0,222475309.0,-16.760167595307866
47,90002,City and County of Honolulu (DTS) - Transportation Services,Honolulu,HI,2007915.0,2012591.0,0.23287838379612683,64065785.0,43408662.0,-32.24361178123393
48,40004,Metropolitan Transit Authority (MTA),Madison,TN,722743.0,724085.0,0.18568149397503675,9686880.0,8858154.0,-8.555138496605718
49,40028,Lee County - Public Transportation,Fort Myers,FL,292210.0,292109.0,-0.03456418329283734,3180902.0,2046358.0,-35.667367306506144
50,50118,Northeast Illinois Regional Commuter Railroad Corporation,Chicago,IL,1507232.0,1506554.0,-0.04498312137746545,61456663.0,35051943.0,-42.96477991328621
51,50008,Milwaukee County (MCTS) - Transportation - Transit,Milwaukee,WI,1507456.0,1505252.0,-0.14620658911437548,29423783.0,25665100.0,-12.774302339029623
52,10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division - Hartford,Hartford,CT,743581.0,739898.0,-0.49530582411331114,15797582.0,12658139.0,-19.872933718590605
53,90154,Los Angeles County Metropolitan Transportation Authority (LACMTA),Los Angeles,CA,8843739.0,8780003.0,-0.7206906490569204,379718121.0,302611788.0,-20.30620313745838
54,90148,Victor Valley Transit Authority (VVTA),Hesperia,CA,369081.0,365922.0,-0.855909678363286,2240374.0,1659923.0,-25.908665249641356
55,60008,"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,5000218.0,4934981.0,-1.3046831158161505,89951217.0,75859165.0,-15.666327227123563
56,30006,Greater Richmond Transit Company (GRTC),Richmond,VA,675246.0,665750.0,-1.406302295755917,9283520.0,10990419.0,18.386334062941643
57,50010,METRO Regional Transit Authority (METRO),Akron,OH,461389.0,452780.0,-1.8658875699247273,5418121.0,5341634.0,-1.4116886647603477
58,70002,Transit Authority of Omaha,Omaha,NE,337425.0,330883.0,-1.9388012150848337,3368959.0,3477106.0,3.2101013992749685
59,40086,Metropolitan Bus Authority (MBA),San Juan,PR,332476.0,324757.0,-2.321671338683093,3318828.0,3079779.0,-7.202813764377063
60,90032,City of Phoenix - Public Transit,Phoenix,AZ,2013579.0,1957949.0,-2.7627423607417443,41042579.0,24023909.0,-41.465888388738925
61,20076,Westchester County - Department of Public Works and Transportation,White Plains,NY,944539.0,916764.0,-2.9405879481948336,26823191.0,24745768.0,-7.744876439197708
62,90015,City and County of San Francisco (SFMTA) - Transit Division,San Francisco,CA,3555053.0,3445825.0,-3.072471774682403,223338056.0,160543993.0,-28.11615007520259
