mode,month,avg_otp,route_count,bus_type
BUS,2020-09,0.7054750000000001,4,limited
BUS,2020-10,0.6916249999999999,4,limited
BUS,2020-11,0.7084666666666667,3,limited
BUS,2020-12,0.68495,4,limited
BUS,2021-01,0.665675,4,limited
BUS,2021-02,0.6717,4,limited
BUS,2021-03,0.721325,4,limited
BUS,2021-04,0.72715,4,limited
BUS,2021-05,0.708,4,limited
BUS,2021-06,0.6954,4,limited
BUS,2021-07,0.7378750000000001,4,limited
BUS,2021-08,0.726725,4,limited
BUS,2021-09,0.6823,4,limited
BUS,2021-10,0.708125,4,limited
BUS,2021-11,0.713625,4,limited
BUS,2021-12,0.7301500000000001,4,limited
BUS,2022-01,0.720825,4,limited
BUS,2022-02,0.731425,4,limited
BUS,2022-03,0.719775,4,limited
BUS,2022-04,0.734375,4,limited
BUS,2022-05,0.7148,4,limited
BUS,2022-06,0.703875,4,limited
BUS,2022-07,0.712275,4,limited
BUS,2022-08,0.7051000000000001,4,limited
BUS,2022-09,0.60615,4,limited
BUS,2022-10,0.738025,4,limited
BUS,2022-11,0.7061999999999999,4,limited
BUS,2022-12,0.6859999999999999,4,limited
BUS,2023-01,0.7192000000000001,4,limited
BUS,2023-02,0.72975,4,limited
BUS,2023-03,0.700525,4,limited
BUS,2023-04,0.690775,4,limited
BUS,2023-05,0.680275,4,limited
BUS,2023-06,0.68305,4,limited
BUS,2023-07,0.67225,4,limited
BUS,2023-08,0.67905,4,limited
BUS,2023-09,0.633225,4,limited
BUS,2023-10,0.60885,4,limited
BUS,2023-11,0.6634,4,limited
BUS,2023-12,0.69585,4,limited
BUS,2024-01,0.689125,4,limited
BUS,2024-02,0.6819,4,limited
BUS,2024-03,0.693975,4,limited
BUS,2024-04,0.641525,4,limited
BUS,2024-05,0.63825,4,limited
BUS,2024-06,0.646775,4,limited
BUS,2024-07,0.6430750000000001,4,limited
BUS,2024-08,0.64235,4,limited
BUS,2024-09,0.64105,4,limited
BUS,2024-10,0.60615,4,limited
BUS,2024-11,0.62905,4,limited
BUS,2024-12,0.635525,4,limited
BUS,2025-01,0.66615,4,limited
BUS,2025-02,0.6538999999999999,4,limited
BUS,2025-03,0.62885,4,limited
BUS,2025-04,0.638625,4,limited
BUS,2025-05,0.5876,4,limited
BUS,2025-06,0.65815,4,limited
BUS,2025-07,0.674625,4,limited
BUS,2025-08,0.674425,4,limited
BUS,2025-09,0.6465000000000001,4,limited
BUS,2025-10,0.618775,4,limited
BUS,2025-11,0.653875,4,limited
BUS,2019-01,0.7045671875,64,local
BUS,2019-02,0.688684375,64,local
BUS,2019-03,0.69636875,64,local
BUS,2019-04,0.678971875,64,local
BUS,2019-05,0.65764375,64,local
BUS,2019-06,0.6438421875,64,local
BUS,2019-07,0.69105625,64,local
BUS,2019-08,0.68659375,64,local
BUS,2019-09,0.6688296875,64,local
BUS,2019-10,0.68673125,64,local
BUS,2019-11,0.6918,64,local
BUS,2019-12,0.7192,64,local
BUS,2020-01,0.7289384615384615,65,local
BUS,2020-02,0.717428125,64,local
BUS,2020-03,0.7521328125,64,local
BUS,2020-04,0.736525,64,local
BUS,2020-05,0.7284546875,64,local
BUS,2020-06,0.7116625,64,local
BUS,2020-07,0.7141265625,64,local
BUS,2020-08,0.710215625,64,local
BUS,2020-09,0.7090359375,64,local
BUS,2020-10,0.710971875,64,local
BUS,2020-11,0.73516875,48,local
BUS,2020-12,0.7188046875,64,local
BUS,2021-01,0.7356015625,64,local
BUS,2021-02,0.7317234375,64,local
BUS,2021-03,0.7437015625,64,local
BUS,2021-04,0.7402734375,64,local
BUS,2021-05,0.729734375,64,local
BUS,2021-06,0.7225843750000001,64,local
BUS,2021-07,0.7257453125,64,local
BUS,2021-08,0.7171125,64,local
BUS,2021-09,0.69465,64,local
BUS,2021-10,0.706565625,64,local
BUS,2021-11,0.722178125,64,local
BUS,2021-12,0.7324875,64,local
BUS,2022-01,0.7401703125,64,local
BUS,2022-02,0.70948125,64,local
BUS,2022-03,0.6851828125,64,local
BUS,2022-04,0.67975625,64,local
BUS,2022-05,0.70019375,64,local
BUS,2022-06,0.6857296875,64,local
BUS,2022-07,0.678159375,64,local
BUS,2022-08,0.6665539682539683,63,local
BUS,2022-09,0.597340625,64,local
BUS,2022-10,0.6818875,64,local
