route_id,route_name,mode,avg_otp,weighted_lanes,weighted_func_cls,weighted_speed,arterial_share,divided_share,avg_truck_pct,match_rate,n_segments,stop_count,span_km
59,MON VALLEY,BUS,0.689755421686747,2.136413889846527,3.7770161937067037,31.99501850964211,0.7783645787515305,0.3449874582436786,5.598009927514294,0.7424289245982695,171,334,12.895827524446
7,SPRING GARDEN,BUS,0.7074795180722891,2.135400491874427,2.8141643334496274,37.152526836251624,0.9104209866422337,0.40367459131021843,5.5176630051111175,0.7037582903463523,65,67,5.529351642279202
G31,BRIDGEVILLE FLYER,BUS,0.7341548780487804,2.1318453955221437,3.0152582643274264,35.088320948191935,0.829892009043716,0.445323434552425,5.958808076037546,0.6492890995260664,120,78,14.177868183201774
44,VIA KNOXVILLE,BUS,0.72646625,2.131580380411529,3.642502640679737,28.89818666585255,0.6648177680967754,0.2255241355167451,6.249953367963508,0.4326771653543307,69,133,8.098706096774043
18,MANCHESTER,BUS,0.8840963855421686,2.1285563214290266,3.1686905632548807,33.2844746399683,0.898454521130888,0.33619580312663244,6.443756226020574,0.9049773755656109,50,43,2.140481159734372
31,BRIDGEVILLE,BUS,0.6748740740740741,2.1248982565329424,2.8598960165790297,35.81866240618857,0.8664900864763259,0.40342577561124776,5.678311391960681,0.9578444154715341,129,128,14.177868183201774
P7,MCKEESPORT FLYER,BUS,0.7169891566265061,2.124104362269026,3.308576430620868,31.86133374479237,0.8468199958476551,0.43338023945189047,5.0053829476256375,0.5997904662126768,129,101,16.690814353560626
24,WEST PARK,BUS,0.6971098765432099,2.1189551393531767,2.986035046432416,35.40861642884928,0.9330623618621855,0.37545920643114533,7.147990383296392,0.7891545975075783,99,98,13.922258487647591
4,TROY HILL,BUS,0.7532843373493976,2.11682055691996,3.1903095100059287,36.24361353671107,0.7680787646025696,0.3802680386826897,6.112558485028286,0.8046482412060302,79,96,6.669512989249653
P10,ALLEGHENY VALLEY FLYER,BUS,0.6431036144578314,2.1149717343876184,3.4263955440139773,37.63886884775731,0.8291599869821487,0.5231392307414149,6.064305764462317,0.7862522031725685,203,189,35.609612146488786
P13,MOUNT ROYAL FLYER,BUS,0.6792658536585365,2.1148661283467916,3.39047414183604,37.65124082969966,0.6521844453888653,0.38468338291542714,4.38279014585805,1.0,134,123,13.848572886447071
41,BOWER HILL,BUS,0.76378875,2.114007107381401,3.611028108097595,31.018839887736895,0.7601419335502655,0.29942520123308786,4.988379342161044,0.8184684684684684,96,138,14.172647691300227
40,MOUNT WASHINGTON,BUS,0.7615112500000001,2.1102301075491425,3.4643845946398684,30.975274540782518,0.6082167958843562,0.27829246327905843,6.861494420482279,0.5613577023498695,56,77,3.5505152436795564
17,SHADELAND,BUS,0.6683573170731708,2.105196259800405,3.3783967831510164,34.238751474164815,0.7923887189942236,0.27633052692515825,5.4895166435658815,0.7679765886287625,95,101,6.933390352884643
51L,CARRICK LIMITED,BUS,0.7352228915662651,2.09340655442271,3.6409931777075757,29.358461307650945,0.7464223125660728,0.24580858928786814,5.489110187705975,0.9203216374269005,59,50,8.460230278511208
G3,MOON FLYER,BUS,0.7420414634146342,2.0912596401028276,2.2182416792874173,40.15826909014868,0.9087747888358428,0.5895783602644142,6.761848371460158,0.7121740574655373,195,34,20.85468542273929
1,FREEPORT ROAD,BUS,0.6164829268292683,2.084691144834853,3.1483902042427605,37.42716361479007,0.8672734988951165,0.4028917214230313,6.144404837632073,0.9209821428571429,198,221,27.362454504961793
43,BAILEY,BUS,0.79543875,2.078113227021727,3.4700460674841356,30.6648880010043,0.7084997677659081,0.3812974144604428,6.435928492579419,0.8947368421052632,50,65,3.0808635703786256
22,MCCOY,BUS,0.7232444444444445,2.0773390569005077,2.9621277169010964,35.44791067934717,0.8329917240312475,0.437221233918581,7.081304614518286,0.9203379601689801,90,65,8.91323125286527
48,ARLINGTON,BUS,0.7499313253012049,2.075348154599189,3.4888039429412263,30.64087786412314,0.7224681681463742,0.344783930457782,6.113033267154133,0.9504617968094039,61,89,3.9666806534948136
19L,EMSWORTH LIMITED,BUS,0.6602963855421686,2.071844393547786,3.0926942401340654,33.27097769703001,0.8902201580194116,0.3738027160505937,5.846803580907565,0.9315762797769893,138,81,12.13634801782539
20,KENNEDY,BUS,0.698530487804878,2.0620815110113404,3.190905090110116,34.50361040925215,0.7701503657545381,0.3605439873050277,6.9634006291919635,0.9619417475728156,104,92,13.712067654834525
79,EAST HILLS,BUS,0.709910975609756,2.0379204892966363,4.476568897242115,31.895602336783195,0.6258045725935634,0.31360128149118977,4.697450345724947,0.5885885885885885,31,114,4.013750915271161
38,GREEN TREE,BUS,0.713946913580247,2.030718880240199,2.7560964337811598,36.00779318518259,0.8634343050629536,0.5529617602904596,5.0652010197421635,0.8720024914356899,154,131,12.261876259076415
74,HOMEWOOD-SQUIRREL HILL,BUS,0.6572341463414634,2.016633885267047,3.694728549263208,30.061399163385737,0.6878724385275802,0.26656238874265337,3.9507435648986813,0.5484042553191489,65,171,5.981898239920018
27,FAIRYWOOD,BUS,0.7843629629629629,1.9653652480785593,2.8571684024725568,33.64678275317768,0.8052335718569974,0.4421405755255192,6.634468559663722,0.7905282331511839,81,105,6.682186660737685
26,CHARTIERS,BUS,0.80436125,1.9638618220453075,2.7967315011632383,33.867913408908855,0.8359664379225278,0.4613330228428797,6.484253037799794,0.7386124737210932,78,81,5.737168533918969
14,OHIO VALLEY,BUS,0.7563674698795181,1.9160807724084303,3.033786841993432,38.02773819833029,0.9187132466101832,0.5877747898070599,5.573950776186659,0.8369289340101523,137,138,24.12865021014509
71,EDGEWOOD TOWN CENTER,BUS,0.7087638554216867,1.8935729471408065,3.4050238224796763,30.308901630125796,0.5942616248432758,0.09903149019679101,5.166089444360789,0.4750633981403212,32,95,4.127406434117842
