stop_id,avg_ons,avg_offs,stop_name,lat,lon,shelter,mode,stop_type,avg_daily_usage,has_shelter
N71240,0.0,0.1636363636363635,PROSPECT ST OPP RESERVOIR DR,40.6108,-79.7465,No Shelter,Bus,Bus Stop,0.1636363636363635,false
N37150,0.0,0.57727275,MT TROY RD AT #2722,40.4738,-79.9865,No Shelter,Bus,Bus Stop,0.57727275,false
S70387,0.075,0.04772727272727275,HWY RT 885 OPP WRAY LARGE RD,40.3185,-79.9216,No Shelter,Bus,Bus Stop,0.12272727272727274,false
E35820,0.7568182,19.4659105,LINCOLN AVE AT JOSHUA ST,40.4704,-79.8929,No Shelter,Bus,Bus Stop,20.2227287,false
N47190,0.0,0.0,SAMPLE RD AT #1848,40.5723,-79.9963,No Shelter,Bus,Bus Stop,0.0,false
E38040,2.088636363636365,6.35909090909091,MAIN ST AT HOWARD ST,40.3975,-79.8413,No Shelter,Bus,Bus Stop,8.447727272727276,false
N45490,0.338636345,0.1,REGULUS ST AT COLBY ST,40.4846,-80.0045,No Shelter,Bus,Bus Stop,0.43863634500000004,false
E70902,7.06590909090909,1.027272727272725,VERONA ST AT MAPLEVIEW DR,40.4003,-79.8631,No Shelter,Bus,Bus Stop,8.093181818181815,false
N08100,4.459091,1.5590909,BEAVER AVE AT NORTH AVE,40.452,-80.0287,No Shelter,Bus,Bus Stop,6.0181819,false
E02080,22.27045505,33.37272705,FIFTH AVE OPP VAN BRAAM ST,40.4385,-79.9824,No Shelter,Bus,Bus Stop,55.643182100000004,false
X20050,38.56136363636365,11.95454545454545,WEST LIBERTY AVE AT ILLINOIS AVE,40.3952,-80.034,No Shelter,Bus,Bus Stop,50.515909090909105,false
W23194,0.045454545,0.0,SWALLOW HILL RD OPP CHARTIERS VALLEY SCHOOL DRVWY,40.396,-80.0769,No Shelter,Bus,Bus Stop,0.045454545,false
N53645,0.145454545,0.9772725,WESTERN AVE AT ALLEGHENY AVE,40.4516,-80.0185,No Shelter,Bus,Bus Stop,1.122727045,false
E11750,0.9704545499999999,12.1568185,BUTLER ST OPP 49TH ST,40.477,-79.9569,No Shelter,Bus,Bus Stop,13.12727305,false
X04280,0.022727275,2.584091,CEDAR BLVD OPP MAYFAIR DR,40.371,-80.0598,No Shelter,Bus,Bus Stop,2.6068182749999997,false
E01480,43.586365,55.829544999999996,FIFTH AVE AT NEVILLE ST,40.4471,-79.9472,No Shelter,Bus,Bus Stop,99.41591,false
E29130,67.66818,1.7113635,HIGHLAND AVE AT STANTON AVE,40.4698,-79.921,No Shelter,Bus,Bus Stop,69.37954350000001,false
S70597,2.54090909090909,13.220454545454551,BROWNLEE ST AT #44,40.3492,-79.8412,No Shelter,Bus,Bus Stop,15.76136363636364,false
E70413,0.8090909,28.056820000000002,SOUTH AVE AT PENNWOOD AVE,40.4427,-79.8876,No Shelter,Bus,Bus Stop,28.865910900000003,false
N13100,0.67045455,4.927272500000001,CALIFORNIA AVE AT WINHURST ST FS,40.4876,-80.0453,No Shelter,Bus,Bus Stop,5.5977270500000005,false
E10410,0.0,0.02272727272727275,BRINTON RD OPP DRIVEWAY,40.4328,-79.8727,No Shelter,Bus,Bus Stop,0.02272727272727275,false
N49530,1.0818180000000002,17.445455000000003,SHADELAND AVE AT RANCHERIA ST,40.4719,-80.0309,No Shelter,Bus,Bus Stop,18.527273,false
E17316,7.61818197,308.45908994999996,EAST BUSWAY AT WILKINSBURG STATION D,40.4466,-79.8885,No Shelter,Busway,Busway Station,316.07727192,false
E19850,0.8409091000000001,36.9795475,FORBES AVE OPP BRIARCLIFF RD,40.4395,-79.8995,No Shelter,Bus,Bus Stop,37.8204566,false
S70138,59.99318,92.76590999999999,E CARSON ST AT S 26TH ST,40.4274,-79.9686,No Shelter,Bus,Bus Stop,152.75909,false
N31410,13.436363499999999,11.781818000000001,MAIN ST AT 13TH ST FS,40.4944,-79.9294,PAAC,Bus,Bus Stop with PAAC Shelter,25.2181815,true
E51580,2.5136364999999996,2.6295455,SHADY AVE OPP SOLWAY ST,40.4427,-79.9201,No Shelter,Bus,Bus Stop,5.1431819999999995,false
E70889,35.152275,2.784091,BEACON ST AT WIGHTMAN ST,40.4342,-79.9274,No Shelter,Bus,Bus Stop,37.93636600000001,false
E36268,2.6613635,0.0681818,LINCOLN HWY AT ISAAC ST FS,40.3775,-79.8018,No Shelter,Bus,Bus Stop,2.7295453000000003,false
N15521,0.0,1.9363635000000001,CONNIE DR AT PERRY HWY,40.4963,-80.0203,No Shelter,Bus,Bus Stop,1.9363635000000001,false
W25900,36.03636385,25.500000075,W CARSON ST AT GATEWAY VIEW PLAZA,40.4417,-80.0214,No Shelter,Bus,Bus Stop,61.536363925,false
W19480,154.81139,177.11817299999998,PARK MANOR BLVD AT IKEA,40.4534,-80.1677,Lamar,Bus,Bus Stop with Non-PAAC Shelter,331.929563,true
S04720,7.9022725000000005,26.297725,ARLINGTON AVE AT FERNLEAF ST,40.4172,-79.9759,No Shelter,Bus,Bus Stop,34.1999975,false
S11420,0.79772725,8.2704545,CHARLES ST AT GEORGIA AVE,40.4164,-79.9952,No Shelter,Bus,Bus Stop,9.068181749999999,false
S25165,0.247727275,4.4386365,HWY RT 885 AT LEBANON CHURCH RD FS,40.348,-79.9392,Lamar,Bus,Bus Stop with Non-PAAC Shelter,4.686363775,true
S48380,15.7,3.011363636363635,WEST ST AT 13TH AVE,40.403,-79.9081,No Shelter,Bus,Bus Stop,18.711363636363636,false
S26980,3.634091,0.170454545,JOSEPHINE ST AT #3203,40.42,-79.9642,No Shelter,Bus,Bus Stop,3.8045455450000003,false
W70118,50.4659090909091,154.890909090909,LAYOVER WEST BUSWAY TERMINAL,40.4055,-80.0908,No Shelter,Busway,Busway Stop,205.35681818181808,false
E58090,11.55,8.188636500000001,WINTERBURN AVE AT FARNSWORTH ST FS,40.4231,-79.9399,No Shelter,Bus,Bus Stop,19.738636500000002,false
