stop_id,stop_name,mode,stop_type,avg_daily_usage,avg_ons,avg_offs,lat,lon
P00380,FOURTH AVE AT SMITHFIELD ST,Bus,Bus Stop,257.6340935,233.19773,24.4363635,40.4388,-79.9997
E19400,FORBES AVE AT DITHRIDGE ST,Bus,Bus Stop,255.797727125,42.995454349999996,212.802272775,40.4442,-79.95
W70183,PGH AIRPORT UPPER LEVEL (DEPAR,Bus,Bus Stop,251.045454545455,1.0,250.045454545455,40.4953,-80.2558
E41110,MURRAY AVE AT BEACON ST,Bus,Bus Stop,250.87045500000002,87.82273,163.047725,40.4349,-79.9229
E13480,CENTRE AVE AT GRAHAM ST,Bus,Bus Stop,249.43408649999998,184.713632,64.7204545,40.4566,-79.9364
P02830,PENN AVE AT CECIL PL,Bus,Bus Stop,244.56591,235.786365,8.779545,40.4425,-80.0031
E13380,CENTRE AVE AT CYPRESS ST,Bus,Bus Stop,244.125,196.67272499999999,47.452275,40.4551,-79.9414
P00580,FIFTH AVE AT MARKET ST,Bus,Bus Stop,242.9272697,67.0931815,175.8340882,40.4412,-80.0014
E01470,FIFTH AVE AT NEGLEY AVE,Bus,Bus Stop,240.222722045,22.806816045,217.415906,40.4497,-79.9298
E46470,PENN AVE AT SHERIDAN AVE,Bus,Bus Stop,240.02726545000002,120.53181745,119.495448,40.461,-79.9236
E13180,CENTRE AVE AT AIKEN AVE,Bus,Bus Stop,239.7249995,33.2545445,206.470455,40.4558,-79.9388
E13490,CENTRE AVE AT GRAHAM ST,Bus,Bus Stop,238.745456,86.12045499999999,152.625001,40.4565,-79.9366
P03490,STANWIX ST OPP FOURTH AVE,Bus,Bus Stop,235.4,149.795455,85.604545,40.4407,-80.0044
E01660,FIFTH AVE AT SHADY AVE,Bus,Bus Stop,235.2227325,44.95227250000001,190.27045999999999,40.4528,-79.9209
E13910,CENTRE AVE OPP CYPRESS ST,Bus,Bus Stop,235.08409,53.522724999999994,181.561365,40.455,-79.9416
E01810,FIFTH AVE AT WASHINGTON PL,Bus,Bus Stop,230.06135627499998,63.354545775,166.7068105,40.4388,-79.9907
P00490,FIFTH AVE AT GRANT ST NS,Bus,Bus Stop,226.98636499999998,56.363636,170.622729,40.4392,-79.9962
S08860,BROWNSVILLE RD OPP MATTHEWS AVE,Bus,Bus Stop,224.36817299999998,151.7659,72.602273,40.4134,-79.9887
S48620,WHARTON ST AT S 20TH ST,Bus,Bus Stop,223.93636500000002,111.345455,112.59091000000001,40.4304,-79.9772
W03830,CHARTIERS AVE AT MCKEES ROCKS PLAZA NS,Bus,Bus Stop,222.56818181818184,131.7,90.86818181818185,40.4644,-80.0576
E41090,MURRAY AVE AT BARTLETT ST,Bus,Bus Stop,222.05908800000003,43.090908,178.96818000000002,40.4361,-79.9229
E01900,FIFTH AVE OPP BELLEFONTE ST,Bus,Bus Stop,221.840910275,19.993181774999996,201.84772850000002,40.449,-79.9322
E00980,FIFTH AVE AT BELLEFONTE ST,Bus,Bus Stop,218.9636371,203.8181825,15.1454546,40.449,-79.9325
S02620,8TH AVE AT ANN ST FS,Bus,Bus Stop,218.5636363636363,128.56818181818178,89.99545454545454,40.4079,-79.9091
E09540,BRADDOCK HILLS SHPG CTR AT PROPEL SCHOOL,Bus,Bus Stop,215.6590909090909,78.15227272727273,137.50681818181818,40.4146,-79.8533
N70048,WATERWORKS MALL OPP BED BATH & BEYOND (WALMART),Bus,Bus Stop,213.67953899999998,47.004543999999996,166.674995,40.488,-79.8898
E13600,CENTRE AVE AT MELWOOD AVE,Bus,Bus Stop,212.33864,138.002275,74.336365,40.4523,-79.9507
N30310,LINCOLN AVE OPP FREMONT AVE,Bus,Bus Stop,211.33636363636364,54.59772727272729,156.73863636363635,40.494,-80.0523
E70378,FIFTH AVE OPP AIKEN AVE,Bus,Bus Stop,209.281814045,19.709090545,189.5727235,40.4483,-79.9344
S08720,BROWNSVILLE RD OPP KNOX AVE,Bus,Bus Stop,209.26591275,147.886365,61.37954775,40.4106,-79.9902
N30390,LINCOLN AVE AT SHERIDAN AVE,Bus,Bus Stop,208.91136363636366,155.54318181818186,53.3681818181818,40.4952,-80.0549
S16270,E CARSON ST AT S 22ND ST,Bus,Bus Stop,208.83181770000002,168.60909,40.22272770000001,40.4284,-79.9748
E41120,MURRAY AVE AT BEACON ST NS,Bus,Bus Stop,208.2272715,141.288635,66.9386365,40.4346,-79.9228
E45880,PENN AVE AT VILLAGE OF EASTSIDE SHPG CTR,Bus,Bus Stop,206.27954780000002,104.9045451,101.37500270000001,40.4582,-79.9184
