stop_id,stop_name,lat,lon,mode,pre_usage,post_usage,abs_change,pct_change,zone,dist_from_dt_km
N15670,CORBETT CT AT CLUB JULIAN SPA,40.5482,-80.0201,Bus,7.4886365,5.6147187,-1.8739178,-25.02348458227342,Outer ring (> 8 km),12.138312079056416
N10890,BRIGHTON RD OPP PENNOCK ST,40.4873,-80.0393,Bus,13.63181815,3.551947995,-10.079870155000002,-73.94369587449347,Inner ring (2-8 km),6.359695672149543
N20110,FOREST AVE AT MARYLAND AVE,40.5041,-80.0525,Bus,12.461363636363638,7.814935064935065,-4.646428571428573,-37.28667830436936,Outer ring (> 8 km),8.530998955659456
E13600,CENTRE AVE AT MELWOOD AVE,40.4523,-79.9507,Bus,212.33864,74.9761825,-137.3624575,-64.69027846274234,Inner ring (2-8 km),4.040060100019224
E27460,HAWKINS AVE OPP OVERLAND ST,40.4109,-79.8686,Bus,24.184090500000003,12.8538963,-11.330194200000003,-46.84978415872204,Outer ring (> 8 km),11.270253579729319
N06430,BABCOCK BLVD AT EVERGREEN & PEOPLES PLANK RD,40.5062,-79.9904,Bus,0.0,0.0,0.0,,Inner ring (2-8 km),7.309207954373428
E41330,MURRAY AVE AT PHILLIPS AVE,40.4322,-79.9231,Bus,342.59090549999996,74.8387435,-267.75216199999994,-78.15506999791037,Inner ring (2-8 km),6.231707492079712
E46720,PENN AVE OPP PEARL ST,40.4657,-79.9479,Bus,10.325,2.6590908,-7.6659092,-74.24609394673124,Inner ring (2-8 km),4.9279339902287775
E56010,WALLACE AVE AT MILL ST,40.4432,-79.8802,Bus,16.038636595,5.0984844449999995,-10.94015215,-68.21123532040474,Outer ring (> 8 km),9.795549290110444
X13710,PIONEER AVE OPP GALLION AVE,40.3985,-80.0221,Bus,9.6613635,0.46861470000000005,-9.1927488,-95.14960077839945,Inner ring (2-8 km),5.180148029209334
P00615,FIFTH AVE AT WILLIAM PENN PL FS,40.4399,-79.998,Bus,328.67272560000004,93.035716675,-235.63700892500003,-71.69350863989062,Downtown (< 2 km),0.19401776668906726
W11734,LINDSAY RD AT WYNNECLIFF DR #1,40.3875,-80.0795,Bus,1.1818182,0.022727275,-1.1590909249999999,-98.07692291420118,Outer ring (> 8 km),9.217179840338606
E41100,MURRAY AVE AT BARTLETT ST FS,40.4362,-79.9228,Bus,196.102275,75.2359295,-120.8663455,-61.634341315010246,Inner ring (2-8 km),6.205833126515586
W16120,NOBLESTOWN RD AT ALTER ST,40.4139,-80.0732,Bus,15.229545499999999,2.58116875,-12.648376749999999,-83.05157071168013,Inner ring (2-8 km),7.185117509617382
N16664,DUNCAN AVE AT ROYAL MANOR CT #2,40.5666,-80.0036,Bus,3.4727272727272753,0.23593073593073566,-3.2367965367965397,-93.20618299675893,Outer ring (> 8 km),14.025678101440148
E39600,MONONGAHELA AVE AT SCHLEY AVE,40.4208,-79.8898,Bus,24.561362924999997,12.51515157,-12.046211354999997,-49.04537012780612,Outer ring (> 8 km),9.246309367511618
N14460,N CHARLES ST AT BIZET ST,40.4665,-80.0199,Bus,3.215909,1.5183985,-1.6975105,-52.78478029073583,Inner ring (2-8 km),3.5238868106731944
S27705,LAUREL DR AT CURRY RD,40.3443,-79.9923,Bus,0.936363636363635,0.238095238095238,-0.6982683982683969,-74.57235321312989,Outer ring (> 8 km),10.71241080189646
E45610,PENN AVE AT 40TH ST,40.4653,-79.9577,Bus,109.09999905000001,37.4718619,-71.62813715000001,-65.6536551546377,Inner ring (2-8 km),4.241515933666155
N14150,CENTER AVE OPP NORWICH ST,40.5176,-80.0232,Bus,7.359091,3.2705629,-4.0885281,-55.557515187677396,Outer ring (> 8 km),8.867896702250265
S70640,KENNEDY AVE AT AURILES ST,40.3703,-79.8527,Bus,9.04545454545455,4.755411255411256,-4.290043290043294,-47.42761426178513,Outer ring (> 8 km),14.426468593668847
N21370,FREEPORT RD AT LEWIS AVE FS,40.4973,-79.8558,Bus,2.8590909090909102,1.2316017316017318,-1.6274891774891784,-56.92330986448635,Outer ring (> 8 km),13.42406172515062
N36540,MT ROYAL BLVD OPP HARTLE RD,40.5413,-79.9723,Bus,1.495454525,0.808441575,-0.68701295,-45.940076312250284,Outer ring (> 8 km),11.373790092825324
S42460,SOUTH BUSWAY OPP PIONEER AVE RAMP,40.4119,-80.0085,Busway,9.8818182,8.3095233,-1.5722948999999993,-15.910987919207006,Inner ring (2-8 km),3.3647988222161658
S70453,COCHRANS MILL RD AT BROWNSVILLE RD FS,40.3251,-79.9857,Bus,2.4704546,0.7348483,-1.7356063000000002,-70.2545312915283,Outer ring (> 8 km),12.872040020763311
E53290,STATION ST AT SR CITIZEN BLDG,40.3932,-79.8077,Bus,7.740909,4.588744600000001,-3.1521643999999993,-40.720855909816265,Outer ring (> 8 km),16.781775504022526
E01130,FIFTH AVE AT CRAFT AVE (CARLOW UNIV),40.4378,-79.9641,Bus,315.91364475,110.2034637,-205.71018105000002,-65.11595319435787,Inner ring (2-8 km),2.7091796375405663
N08750,BEAVER ST OPP GRANT ST,40.5439,-80.1855,Bus,3.14545465,0.813852875,-2.331601775,-74.12606552760187,Outer ring (> 8 km),19.72308147528039
W08740,HERBST RD AT MARY ST,40.4864,-80.1175,Bus,0.7295454545454545,0.0930735930735931,-0.6364718614718614,-87.24224892449192,Outer ring (> 8 km),11.478841258521507
E35800,LINCOLN AVE AT CHURCHLAND ST,40.4698,-79.8945,Bus,27.275000799999997,11.99891795,-15.276082849999998,-56.00763483753958,Outer ring (> 8 km),9.173268053039733
