stop_id,avg_ons,avg_offs,stop_name,lat,lon,direction,mode,net_flow,total_usage,flow_type,on_off_ratio
E41770,15.08182,20.84318,NEGLEY AVE AT ELLSWORTH AVE,40.4547,-79.9325,Inbound,Bus,-5.76136,35.925,Attractor,0.7235853646132692
E70777,6.4386365,3.2272724999999998,BEDFORD AVE AT HERRON AVE FS,40.453,-79.9659,Inbound,Bus,3.2113640000000006,9.665909,Generator,1.9950706052866627
N41790,1.64545455,15.2454532,PENNSYLVANIA AVE AT SEDGEWICK ST,40.4548,-80.0222,Outbound,Bus,-13.59999865,16.89090775,Attractor,0.1079308386844151
N39000,0.0,0.0,NORTHGATE DR AT #9396,40.5767,-79.9907,Inbound,Bus,0.0,0.0,Balanced,
S70627,0.0,0.0,HWY RT 885 OPP ANDREW DR,40.321,-79.9242,Outbound,Bus,0.0,0.0,Balanced,
N14815,0.07045454500000001,0.0,CHARTERWOOD DR AT MCINTYRE RD,40.5518,-80.0008,Inbound,Bus,0.07045454500000001,0.07045454500000001,Generator,
E53030,0.18636365,0.022727275,STANTON AVE OPP KEYSTONE ST,40.4773,-79.954,Inbound,Bus,0.163636375,0.20909092499999998,Generator,8.19999978000002
P02670,283.78408725,157.5931818,LIBERTY AVE OPP SMITHFIELD ST,40.4434,-79.9965,Both,Bus,126.19090545000003,441.37726905,Generator,1.8007383568798534
S70640,4.447727272727275,4.597727272727274,KENNEDY AVE AT AURILES ST,40.3703,-79.8527,Both,Bus,-0.14999999999999947,9.04545454545455,Attractor,0.9673751853682651
N08620,1.0227272727272751,10.693181818181799,BEAVER ST AT #306,40.5678,-80.2115,Outbound,Bus,-9.670454545454524,11.715909090909074,Attractor,0.09564293304994727
E01470,22.806816045,217.415906,FIFTH AVE AT NEGLEY AVE,40.4497,-79.9298,Both,Bus,-194.609089955,240.222722045,Attractor,0.1048994825843147
E70013,6.615909,3.9795455,BAUM BLVD AT AIKEN AVE,40.4571,-79.9383,Inbound,Bus,2.6363635000000003,10.5954545,Generator,1.6624785418334833
E03030,11.1590905,21.92499995,PENN AVE AT GRANT ST,40.4047,-79.8256,Inbound,Bus,-10.76590945,33.08409045,Attractor,0.5089665005905736
W25940,0.959090895,0.06818182,W CARSON ST AT SAGINAW ST,40.4611,-80.0497,Inbound,Bus,0.8909090749999999,1.027272715,Generator,14.066666084888903
E20990,0.1909091,0.775,FRANKSTOWN RD AT DUFFIELD AVE,40.4613,-79.848,Outbound,Bus,-0.5840909000000001,0.9659091,Attractor,0.24633432258064517
S35234,1.795454545,10.495454500000001,MOUNTAINVIEW DR OPP HOME DEPOT,40.3422,-79.9539,Inbound,Bus,-8.699999955000001,12.290909045000001,Attractor,0.17106972785218588
E70756,0.022727275,0.0,BUTLER ST OPP GALLATIN ST,40.4884,-79.9223,Outbound,Bus,0.022727275,0.022727275,Generator,
W70106,0.409090909090909,1.302272727272725,CRENNELL AVE AT BROADHEAD AVE FS,40.4369,-80.0691,Inbound,Bus,-0.8931818181818161,1.711363636363634,Attractor,0.31413612565445076
N45520,0.090909090909091,0.0,REMINGTON DR AT BALMORAL DR #1,40.5584,-80.0088,Inbound,Bus,0.090909090909091,0.090909090909091,Generator,
N70105,0.05,0.17045454545454544,FREEPORT RD AT OAK MANOR DR,40.6507,-79.7084,Outbound,Bus,-0.12045454545454544,0.22045454545454546,Attractor,0.2933333333333334
E12410,0.075,0.047727275,CALMAR DR AT MT CARMEL RD FS,40.4673,-79.8734,Outbound,Bus,0.027272724999999998,0.122727275,Generator,1.571428496598643
E36310,0.045454545,0.2340909,LINCOLN HWY AT MCKEE RD,40.3731,-79.7931,Outbound,Bus,-0.18863635499999998,0.279545445,Attractor,0.1941747628805733
E50560,0.0,0.979545475,SALTSBURG RD OPP REGENCY DR,40.4753,-79.771,Outbound,Bus,-0.979545475,0.979545475,Attractor,0.0
