route_id,route_name,mode,month,otp,rolling_mean,rolling_std,z_score,known_event
71B,HIGHLAND PARK,BUS,2020-03,0.7126,0.6241500000000001,0.04257168286335625,2.077672153198661,COVID-19 shutdown begins
71B,HIGHLAND PARK,BUS,2021-05,0.6911,0.7348666666666667,0.013426319697000288,-3.2597664627667835,
71B,HIGHLAND PARK,BUS,2021-08,0.6068,0.7282833333333333,0.01999990151490898,-6.074196577556805,
71B,HIGHLAND PARK,BUS,2021-09,0.5414,0.7190916666666666,0.04047361561074148,-4.39030869827968,
71B,HIGHLAND PARK,BUS,2022-02,0.494,0.6845249999999999,0.06637761294291913,-2.870320150919562,
71B,HIGHLAND PARK,BUS,2022-09,0.4457,0.6282166666666666,0.07209677629072686,-2.531551007643903,
71B,HIGHLAND PARK,BUS,2023-10,0.4413,0.6152083333333332,0.04542885463373785,-3.8281469945795146,
71C,POINT BREEZE,BUS,2019-09,0.5246,0.5946,0.020281166492233986,-3.4514780018597198,
71C,POINT BREEZE,BUS,2020-03,0.6848,0.5886583333333334,0.026908750125810985,3.5728774549973275,COVID-19 shutdown begins
71C,POINT BREEZE,BUS,2020-04,0.6952,0.595525,0.038675177028448325,2.5772344862618746,COVID-19 reduced service
71C,POINT BREEZE,BUS,2020-05,0.7028,0.6029333333333333,0.048254878855234246,2.069566208346911,COVID-19 reduced service
71C,POINT BREEZE,BUS,2021-08,0.5792,0.6748,0.02582922939053871,-3.701233147707393,
71C,POINT BREEZE,BUS,2021-09,0.4924,0.6664416666666667,0.03767995508425528,-4.618945704088451,
71C,POINT BREEZE,BUS,2022-04,0.4675,0.61055,0.057857057399327644,-2.4724727877650823,
71C,POINT BREEZE,BUS,2022-09,0.429,0.5718583333333334,0.06612037862638863,-2.160579480957761,
71C,POINT BREEZE,BUS,2023-11,0.6752,0.5821500000000001,0.03897109651570484,2.3876669716619867,
71C,POINT BREEZE,BUS,2023-12,0.7109,0.5961083333333334,0.03986760950795519,2.879321536541113,
71C,POINT BREEZE,BUS,2024-09,0.5042,0.6283166666666667,0.06078942541613825,-2.041747652934988,
71D,HAMILTON,BUS,2019-09,0.5274,0.65385,0.028795386535247047,-4.391328445798729,
71D,HAMILTON,BUS,2021-08,0.5844,0.6880083333333333,0.021777947909559853,-4.75748834387892,
71D,HAMILTON,BUS,2021-09,0.5539,0.6797666666666666,0.037068102762674957,-3.3955518973419325,
71D,HAMILTON,BUS,2022-09,0.4448,0.6342583333333334,0.053718719580173574,-3.526858696819319,
71D,HAMILTON,BUS,2023-10,0.6526,0.571875,0.03368709288841525,2.3963183842367317,
71D,HAMILTON,BUS,2023-11,0.6926,0.578375,0.040993483406733956,2.7864184867304154,
71D,HAMILTON,BUS,2023-12,0.7266,0.59105,0.05060550634789917,2.678562270835321,
71D,HAMILTON,BUS,2025-05,0.7999,0.7199833333333333,0.03543485272833534,2.2553125105205165,
74,HOMEWOOD-SQUIRREL HILL,BUS,2020-08,0.5972,0.6976416666666667,0.03193824889414326,-3.1448708099048424,
74,HOMEWOOD-SQUIRREL HILL,BUS,2020-09,0.5983,0.693025,0.041587347835609835,-2.277736016599023,
74,HOMEWOOD-SQUIRREL HILL,BUS,2022-03,0.6278,0.6751416666666668,0.023439999159685736,-2.0196957493108307,
74,HOMEWOOD-SQUIRREL HILL,BUS,2022-04,0.6073,0.66995,0.026522391911878593,-2.362154974866389,
74,HOMEWOOD-SQUIRREL HILL,BUS,2023-08,0.6406,0.7091500000000001,0.02914997271166627,-2.351631704017525,
74,HOMEWOOD-SQUIRREL HILL,BUS,2023-10,0.6262,0.7035499999999999,0.03512094687064819,-2.2023893685122715,
74,HOMEWOOD-SQUIRREL HILL,BUS,2024-08,0.5232,0.6646166666666666,0.02308221800171718,-6.126649815721612,
74,HOMEWOOD-SQUIRREL HILL,BUS,2024-09,0.4826,0.6548333333333333,0.04684014077560829,-3.677045595538063,
75,ELLSWORTH,BUS,2020-01,0.7489,0.6837749999999999,0.02492804645374361,2.6125192008465565,
75,ELLSWORTH,BUS,2020-03,0.7688,0.6927833333333333,0.0329371807959922,2.307928754968502,COVID-19 shutdown begins
75,ELLSWORTH,BUS,2021-01,0.7732,0.7365583333333333,0.015814691577674726,2.3169384294786353,
75,ELLSWORTH,BUS,2021-03,0.779,0.7407416666666666,0.01892139041274512,2.0219620492352,
75,ELLSWORTH,BUS,2021-05,0.6877,0.74175,0.020172686304190644,-2.679365513594081,
75,ELLSWORTH,BUS,2021-09,0.5613,0.7321916666666667,0.029586528209899165,-5.775995934848791,
75,ELLSWORTH,BUS,2021-10,0.5712,0.7183416666666665,0.057610817455394564,-2.5540631632347797,
75,ELLSWORTH,BUS,2025-09,0.5924,0.6680166666666666,0.03680567726299687,-2.0544837723360923,
77,PENN HILLS,BUS,2019-09,0.5068,0.57345,0.02702443338906477,-2.4662866762257223,
77,PENN HILLS,BUS,2021-11,0.6321,0.5808666666666666,0.019674687629879523,2.604022706593135,
77,PENN HILLS,BUS,2022-08,0.5193,0.5883416666666667,0.02619609472398286,-2.635570965601149,
77,PENN HILLS,BUS,2022-09,0.4741,0.5811166666666666,0.032160275703627506,-3.32760414285241,
77,PENN HILLS,BUS,2024-05,0.4241,0.49808333333333327,0.01954616136847234,-3.7850569192919528,
77,PENN HILLS,BUS,2024-06,0.4221,0.49192499999999995,0.028952943797572392,-2.4116718661904963,
