route_id,lag,correlation,p_value
88,6,-0.2602615942207805,0.037801818726593536
89,0,0.5352701027583452,2.150930300142113e-6
89,1,0.5525296558825255,1.033225598805046e-6
89,2,0.5497764219412986,1.4451270395006213e-6
89,3,0.5389120007902782,3.0389109673830706e-6
89,4,0.5434052242545302,2.9042708837147135e-6
89,5,0.5005334772535168,0.0000253207999073336
89,6,0.44140072035415656,0.0002932208523539307
91,0,0.4103372831661997,0.0004186377309891856
91,1,0.40702319807130355,0.0005189152531847192
91,2,0.40668387608742795,0.0005785867110967943
91,3,0.44638890408325166,0.00015292418094376453
91,4,0.4579216723520905,0.00011060857044184655
91,5,0.41958750379983095,0.0005028499366466246
91,6,0.38282334491802417,0.0017957288302197071
93,0,-0.3149686158223282,0.007913696530144279
93,1,-0.29418373570958556,0.014143835005333973
93,2,-0.2932296923331197,0.015232245138394168
93,3,-0.24892958174357288,0.04222167054100913
93,4,-0.23007826471839193,0.06310243084013979
93,5,-0.26176870587189605,0.03517152765629884
93,6,-0.2811895540374435,0.024397944975503794
BLUE,0,0.10131074998583926,0.4074947777500895
BLUE,1,0.023847159635226024,0.846935242970594
BLUE,2,0.0013025896341827955,0.9916530786206381
BLUE,3,0.03883138077424097,0.7568979515929211
BLUE,4,0.1217748414469095,0.33387761314150965
BLUE,5,0.045257657585118544,0.7225091569014865
BLUE,6,-0.03902023611903154,0.7614119453657168
G2,0,-0.4706941041424087,0.000044754226602834985
G2,1,-0.5131952104759588,7.640563341888664e-6
G2,2,-0.5464854011604457,1.718239576072548e-6
G2,3,-0.5650574253199052,7.705128224678999e-7
G2,4,-0.6063601540397816,8.642776729651198e-8
G2,5,-0.6203152799245386,4.579533997707869e-8
G2,6,-0.6101459553710836,1.1041044494169431e-7
G3,0,0.01118606355313486,0.9273148164886786
G3,1,-0.013869584406506222,0.9106200644098351
G3,2,-0.016682431810184802,0.8934096010101731
G3,3,0.02875594578736731,0.818714881558855
G3,4,-0.0373062323867406,0.7679639227080232
G3,5,-0.10047598419233723,0.42954674270511856
G3,6,-0.09568544014774336,0.4556763494763219
G31,0,-0.39905377519216056,0.0006825219206124252
G31,1,-0.4521974833101961,0.00010827962054817219
G31,2,-0.488701438969745,0.000027179982849225907
G31,3,-0.4923307261750302,0.000026825712174928407
G31,4,-0.46500469990218585,0.00009515981791758432
G31,5,-0.46392975965352706,0.00011285782604544958
G31,6,-0.44950408152074006,0.00021926996295015174
O1,0,-0.3962931791260879,0.0006834916747937104
O1,1,-0.37115104543847177,0.0016915005573968469
O1,2,-0.36958611676793657,0.001923469400554288
O1,3,-0.3503522810688239,0.003654737249686629
O1,4,-0.29661802786381447,0.015589272574575179
O1,5,-0.288343073969629,0.01984320791417944
O1,6,-0.310301378009269,0.012580954201897537
O12,0,-0.6258739159535947,6.886566911100563e-9
O12,1,-0.6186520384792539,1.4693109002639452e-8
O12,2,-0.4962338913733468,0.000016811396354402585
O12,3,-0.31869218134343963,0.00857786065374944
O12,4,-0.20616135723584944,0.09676266404941648
O12,5,-0.17967471694353018,0.1520977531575914
O12,6,-0.21225725097896253,0.09221319560918935
O5,0,0.07847025641943711,0.5184705511713433
O5,1,0.12923659621705227,0.2898941251603751
O5,2,0.234629155607106,0.05411579789686575
O5,3,0.30961110581441265,0.010785731570002741
O5,4,0.29783955663121664,0.015147709321245475
O5,5,0.2195059514124664,0.07893974083601389
O5,6,0.14560154546154336,0.25097476615253095
P1,0,-0.43620417971054204,0.00016016632631011033
