stop_id,stop_name,stop_lat,stop_lon,classification,signal_dist_m,shape_id
4664,MCFARLAND RD + THE FIREPLACE & PATIO PLACE,40.394581,-80.046462,mid_block,NaN,shp-36-51
4665,BEVERLY RD + PARKER,40.392522,-80.047013,mid_block,NaN,shp-36-51
4666,BEVERLY RD + MEADOWCROFT,40.390083,-80.047831,near_side,22.078895727554574,shp-36-51
4667,BEVERLY RD + RALSTON,40.389068,-80.049025,near_side,12.126223057378779,shp-36-51
4668,BEVERLY RD + W MARLIN,40.387849,-80.05211,mid_block,NaN,shp-36-51
4669,BEVERLY RD + COCHRAN,40.387307,-80.054605,near_side,23.345521248504763,shp-36-51
4670,COCHRAN RD + MCCULLY RD,40.38582,-80.054029,mid_block,NaN,shp-36-51
4671,COCHRAN RD + NAVATO,40.384061,-80.052945,mid_block,NaN,shp-36-51
4672,COCHRAN RD + ALTOONA,40.383011,-80.052547,near_side,18.304508422413434,shp-36-51
4673,COCHRAN RD + CEDAR,40.380579,-80.052642,near_side,37.98938653060785,shp-36-51
468,NORTHGATE DR + #9396,40.576433,-79.990636,mid_block,NaN,shp-O5-56
469,NORTHGATE DR + SPRINGFIELD,40.577794,-79.992243,mid_block,NaN,shp-O5-56
47,LOGAN ROAD,40.311723,-80.03314,mid_block,NaN,shp-SLVR-01
471,SPRINGFIELD DR + PEEBLES,40.579567,-79.994746,mid_block,NaN,shp-O5-56
472,PRESIDENTIAL DR + CLEVELAND,40.581934,-79.993713,mid_block,NaN,shp-O5-56
473,PRESIDENTIAL DR + HARDING,40.582226,-79.995172,mid_block,NaN,shp-O5-56
4741,CEDAR BLVD + LONGRIDGE,40.378624,-80.054484,mid_block,NaN,shp-36-51
4746,BOWER HILL RD + RUTH,40.380547,-80.061375,mid_block,NaN,shp-41-01
4748,BOWER HILL RD + SALEM,40.381424,-80.059059,mid_block,NaN,shp-41-01
4749,BOWER HILL RD + LONGRIDGE,40.381925,-80.05802,mid_block,NaN,shp-41-01
475,PRESIDENTIAL DR + MADISON (LEASE OFFICE),40.583504,-79.998797,mid_block,NaN,shp-O5-56
4751,BOWER HILL RD + SERPENTINE,40.384303,-80.055672,mid_block,NaN,shp-41-01
4752,BOWER HILL RD + SERPENTINE,40.384526,-80.05546,mid_block,NaN,shp-41-51
4753,BOWER HILL RD + CARNEGIE FS,40.383077,-80.056647,far_side,38.291222464317066,shp-41-51
4754,BOWER HILL RD + LONGRIDGE,40.382124,-80.057853,mid_block,NaN,shp-41-51
4755,BOWER HILL RD + SALEM,40.381722,-80.058773,mid_block,NaN,shp-41-51
4757,BOWER HILL RD + RUTH,40.380664,-80.061377,mid_block,NaN,shp-41-51
4762,CEDAR BLVD + LONGRIDGE,40.378539,-80.054438,mid_block,NaN,shp-36-03
4764,SHJ BUS TURNAROUND SHELTER,40.421135,-80.006111,mid_block,NaN,shp-48-02
4765,HABERMAN RAMP + HARWOOD STEPS,40.42152,-80.003623,mid_block,NaN,shp-48-02
4767,WARRINGTON AVE + ESTELLA AVE,40.42099,-80.000733,near_side,19.45989820149708,shp-48-02
4771,WARRINGTON AVE + ALLEN,40.421767,-79.993842,near_side,12.59891610038062,shp-48-02
4772,WARRINGTON AVE + ARLINGTON,40.421789,-79.992502,near_side,19.94020568199026,shp-48-02
4773,ARLINGTON AVE + KNOX,40.420224,-79.990903,mid_block,NaN,shp-48-02
4774,ARLINGTON AVE + FREELAND,40.419301,-79.989446,mid_block,NaN,shp-48-02
4776,ARLINGTON AVE + KOEHLER,40.417562,-79.984648,mid_block,NaN,shp-48-02
4777,ARLINGTON AVE + FREDERICK,40.417609,-79.982741,mid_block,NaN,shp-48-02
4779,ARLINGTON AVE + SPRING,40.417905,-79.978899,mid_block,NaN,shp-48-02
478,PRESIDENTIAL DR + BABCOCK,40.586342,-80.000233,mid_block,NaN,shp-O5-56
