stop_id,stop_code,stop_name,classification,auth_class,auth_has_signal,heur_has_signal
7276,7276,SOUTH AVE + MULBERRY,mid_block,none,0,0
7279,7279,LIBERTY AVE + 10TH ST NS,near_side,nearside,1,1
7280,7280,SMITHFIELD ST + SIXTH AVE,near_side,nearside,1,1
7282,7282,SOUTH AVE + WOOD,near_side,nearside,1,1
7283,7283,SOUTH AVE + MULBERRY,mid_block,none,0,0
7284,7284,SOUTH AVE + CENTER,mid_block,none,0,0
7285,7285,SOUTH AVE + MILL,mid_block,none,0,0
7286,7286,SOUTH AVE + COAL,mid_block,none,0,0
7287,7287,SOUTH AVE + SWISSVALE,near_side,nearside,1,1
7288,7288,SWISSVALE AVE + FRANKLIN,near_side,nearside,1,1
7289,7289,SWISSVALE AVE + REBECCA,near_side,nearside,1,1
7291,20450,6TH ST + MARGARETTA ST,mid_block,none,0,0
7292,7292,6TH ST + BRADDOCK AVE,near_side,nearside,1,1
7293,7293,BRADDOCK AVE + 7TH,mid_block,none,0,0
7300,7300,WHIPPLE ST + NEVADA,mid_block,none,0,0
7302,7302,WHIPPLE ST + AURELIUS,mid_block,none,0,0
7303,7303,AURELIUS ST + HARRISON,mid_block,none,0,0
7304,7304,SCHOYER AVE + TONETTE,mid_block,none,0,0
7305,7305,SCHOYER AVE + MONROE,mid_block,none,0,0
7306,7306,SCHOYER AVE + MONONGAHELA,far_side,none,0,1
7312,7312,SCHOYER AVE + TONETTE,mid_block,none,0,0
7314,7314,AURELIUS AVE + MCCLURE,mid_block,none,0,0
7315,7315,MCCLURE ST + NEVADA,mid_block,none,0,0
7320,7320,HUTCHINSON AVE + EAST END,mid_block,none,0,0
7321,7321,HUTCHINSON AVE + SAVANNAH,mid_block,none,0,0
7322,7322,SAVANNAH AVE + OVERTON,mid_block,none,0,0
7323,7323,SAVANNAH AVE + WHITNEY,mid_block,none,0,0
7324,7324,SAVANNAH AVE + BIDDLE,mid_block,none,0,0
7325,7325,SAVANNAH AVE + UNION,mid_block,none,0,0
7329,7329,SOUTH AVE + WEST,mid_block,none,0,0
733,733,WEST VIEW PARK DR + WEST VIEW TOWER,mid_block,none,0,0
7330,7330,SOUTH AVE + PITT,mid_block,none,0,0
7334,7334,PEEBLES ST + GREEN,mid_block,none,0,0
7335,7335,SAVANNAH AVE + BIDDLE,mid_block,none,0,0
7336,7336,SAVANNAH AVE + WHITNEY,mid_block,none,0,0
7337,7337,SAVANNAH AVE + OVERTON,mid_block,none,0,0
7338,7338,SAVANNAH AVE + HUTCHINSON,mid_block,none,0,0
7339,7339,HUTCHINSON AVE + BRADDOCK,mid_block,none,0,0
734,734,ROSS PARK AND RIDE AT SHELTERS (MIDDLE UPPER LOT),mid_block,none,0,0
7347,7347,BRINTON RD + #1246,mid_block,none,0,0
7348,7348,BRINTON RD + WILKINS (BRADDOCK),mid_block,none,0,0
7351,7351,ARDMORE BLVD + PARKWAY CENTER EAST,mid_block,none,0,0
7352,7352,ARDMORE BLVD + BERKLEY,near_side,nearside,1,1
7353,7353,ARDMORE BLVD + KENMORE,near_side,nearside,1,1
7354,7354,YOST BLVD + ARDMORE F S,mid_block,farside,1,0
7357,7357,BRADDOCK HILLS SHOPPING CENTER + GIANT EAGLE,mid_block,none,0,0
7374,7374,EDGEWOOD TOWNE CENTRE + TOWNE CENTRE OFFICES,mid_block,none,0,0
7376,7376,EDGEWOOD TOWNE CENTRE + DOLLAR TREE,mid_block,none,0,0
7378,7378,EDGEWOOD TOWNE CENTRE + LAUNDRY ROOM,mid_block,none,0,0
7382,7382,CHURCH ST + MONONGAHELA,near_side,nearside,1,1
7391,7391,BRADDOCK AVE + LINE,mid_block,none,0,0
7394,7394,BRADDOCK AVE + 4TH,near_side,nearside,1,1
7396,7396,BRADDOCK AVE + COREY,near_side,nearside,1,1
7399,7399,BRADDOCK AVE + 9TH,mid_block,none,0,0
7410,7410,BRINTON AVE + BOWERS,mid_block,none,0,0
7411,7411,BRINTON AVE + QUARRY,mid_block,none,0,0
7412,7412,BRINTON AVE + SHERIDAN,mid_block,none,0,0
7413,7413,BRINTON AVE + PALLAS,mid_block,none,0,0
7414,7414,PALLAS ST + WOLFE AVE,mid_block,none,0,0
7415,7415,BRINTON RD + MARY,mid_block,none,0,0
7416,7416,BRINTON RD + TURNER,mid_block,none,0,0
7418,7418,BRINTON RD + GENERAL BRADDOCK,mid_block,none,0,0
7419,7419,PRIVATE DR + BRINTON TOWERS,mid_block,none,0,0
7424,7424,BRINTON RD + YOST,mid_block,none,0,0
7426,7426,YOST BLVD + ARDMORE,mid_block,none,0,0
7429,7429,ARDMORE BLVD + SUMNER,near_side,nearside,1,1
7430,7430,ARDMORE BLVD + MARION FS,far_side,farside,1,1
7431,7431,ARDMORE BLVD + 2 PARKWAY CENTER EAST,mid_block,none,0,0
7432,7432,ARDMORE BLVD + CENTURION DR,mid_block,none,0,0
7443,7443,BRINTON RD + BRINTON MANOR,mid_block,none,0,0
7447,7447,BRINTON RD + GENERAL BRADDOCK FS,mid_block,none,0,0
7449,7449,WOLFE AVE + MARY,mid_block,none,0,0
7450,7450,WOLFE AVE + PALLAS,mid_block,none,0,0
7451,7451,PALLAS ST + BRINTON,mid_block,none,0,0
7452,7452,BRINTON AVE + SHERIDAN,mid_block,none,0,0
7453,7453,BRINTON AVE + QUARRY,mid_block,none,0,0
7454,7454,BRINTON AVE + BOWERS,mid_block,none,0,0
7455,7455,BRINTON AVE + RAVINE,mid_block,none,0,0
7466,7466,BRADDOCK AVE + LIBRARY,near_side,nearside,1,1
7467,7467,BRADDOCK AVE + TURTLE CRK MENTAL HEALTH CTR,mid_block,none,0,0
7469,7469,BRADDOCK AVE + COREY,near_side,nearside,1,1
7471,7471,BRADDOCK AVE + 4TH,near_side,nearside,1,1
7473,7473,BRADDOCK AVE + 2ND,near_side,nearside,1,1
7497,7497,WM PENN HWY + SAMS WAREHOUSE DRVWY,ambiguous,nearside,1,0
7498,7498,WM PENN HWY + PEP BOYS,near_side,nearside,1,1
7499,7499,WM PENN HWY + KINGSTON FS,far_side,farside,1,1
7500,7500,PENN CENTER BLVD + RITE AID DRVWY,mid_block,none,0,0
7501,7501,PENN CENTER BLVD + BLDG #3,mid_block,none,0,0
7502,7502,PENN CENTER BLVD + BLDG #7,mid_block,none,0,0
7503,7503,PENN CENTER BLVD + PENN TOWERS (UPPER),mid_block,none,0,0
7504,7504,PENN CENTER BLVD + PENN TOWERS (LOWER),mid_block,none,0,0
7505,7505,PENN CENTER BLVD + RODI,mid_block,none,0,0
7523,7523,MAIN ST + CENTER,mid_block,none,0,0
7524,7524,MAIN ST + FRANKLIN,mid_block,none,0,0
7526,7526,MAIN ST + MAPLE,mid_block,none,0,0
7527,7527,MAIN ST + RIDGE,mid_block,none,0,0
7529,7529,BRINTON AVE + TERRACE,mid_block,none,0,0
7530,7530,BRINTON AVE + RAVINE,mid_block,none,0,0
7533,7533,YOST BLVD + MAIN,mid_block,none,0,0
7538,7538,JONES AVE + PARKVIEW,mid_block,none,0,0
7541,7541,LIBRARY ST + BRADDOCK,near_side,nearside,1,1
7542,7542,COREY AVE + MARGARETTA,mid_block,none,0,0
7543,7543,COREY AVE + CENTER,mid_block,none,0,0
7545,7545,COREY AVE + AJAX WAY,mid_block,none,0,0
7555,7555,COREY AVE + CENTER,mid_block,none,0,0
7556,7556,COREY AVE + MILLS,mid_block,none,0,0
7557,7557,COREY AVE + BRADDOCK,near_side,nearside,1,1
7558,7558,JONES AVE + HAWKINS,mid_block,none,0,0
7559,7559,JONES AVE + MILLER,mid_block,none,0,0
7560,7560,JONES AVE + ZUERNER,mid_block,none,0,0
7564,7564,YOST BLVD + BRINTON,mid_block,none,0,0
7566,7566,WOLFE AVE + TURNER,mid_block,none,0,0
7567,7567,BRINTON AVE + TERRACE,mid_block,none,0,0
7569,7569,MAIN ST + RIDGE,mid_block,none,0,0
7570,7570,MAIN ST + HOWARD,mid_block,none,0,0
7571,7571,MAIN ST + FRANKLIN,mid_block,none,0,0
7572,7572,MAIN ST + CENTER,mid_block,none,0,0
7574,7574,BRADDOCK AVE + KEYSTONE COMMONS,mid_block,none,0,0
7576,7576,BRADDOCK AVE + PENN,mid_block,none,0,0
7590,7590,WM PENN HWY + HOME DEPOT,near_side,nearside,1,1
7591,7591,WM PENN HWY + KOHLS DRVWY,far_side,nearside,1,1
7592,20685,EXPOMART DR + WEST ENTRANCE,mid_block,none,0,0
7600,7600,LAKETON RD + NELBON,mid_block,none,0,0
7601,7601,LAKETON RD + LINDBERG,mid_block,none,0,0
7602,7602,LAKETON RD + CHURCHILL,mid_block,none,0,0
7603,7603,LAKETON RD + SOUTHERN,mid_block,none,0,0
7604,7604,LAKETON RD + HOWARD,mid_block,none,0,0
7605,7605,LAKETON RD + GRAHAM,near_side,nearside,1,1
7609,7609,LAKETON RD + TURNER,mid_block,none,0,0
7610,7610,LAKETON RD + WINTON,mid_block,none,0,0
7611,7611,LAKETON RD + TURNER SCHOOL,mid_block,none,0,0
7612,7612,LAKETON RD + #1753,mid_block,none,0,0
7613,7613,MONTIER ST + LAKETON FS,far_side,farside,1,1
7614,7614,MONTIER ST + #1823,mid_block,none,0,0
7615,7615,MONTIER ST + HERR,mid_block,none,0,0
7616,7616,MONTIER ST + BESSICA,near_side,nearside,1,1
