geoid,population,land_area_m2,dist_to_stop_m,pop_density,within_half_mile,density_quartile
42003523300,3926,3567824.0,583.4175128361559,1100.3906022270157,true,2
42003401300,2845,3337386.0,587.6048974312291,852.4635747857754,true,2
42003488100,2001,1707709.0,596.703653747563,1171.7453032103244,true,2
42003413300,4550,5726892.0,604.2446376946895,794.4972595956062,true,2
42003401200,2812,2616123.0,648.7683969397106,1074.8730086467647,true,2
42003475402,3250,3867976.0,656.7247429838842,840.2327211957883,true,2
42003980100,0,1448449.0,669.8170551752204,0.0,true,
42003522000,3084,1309388.0,671.0352502593053,2355.29881135309,true,3
42003519000,3127,5666780.0,673.3963287690323,551.8124931619014,true,1
42003474102,3881,4788201.0,697.9418780832538,810.5340607046363,true,2
42003489002,3620,3460667.0,708.1174640814609,1046.0411244421957,true,2
42003482500,1747,2387455.0,718.8343891782595,731.7415406782536,true,2
42003469000,4870,5375269.0,738.268927466919,906.0011694298463,true,2
42003523501,4090,4584875.0,768.720243215652,892.0635786144661,true,2
42003525100,1977,1357813.0,770.9768522955142,1456.0178758046948,true,3
42003521500,4157,10484586.0,786.0317119900247,396.4868045338175,true,1
42003526301,3839,4348413.0,804.5245616082166,882.8508239672727,true,2
42003419000,3108,15189113.0,815.362059547135,204.6202434599045,false,1
42003475401,3913,5916213.0,823.4028685805883,661.4028264364383,false,1
42003413500,6879,8717229.0,824.6822752365381,789.1269117743724,false,2
42003474201,2695,3307057.0,831.1026913163037,814.9239641167359,false,2
42003479000,1962,1307994.0,839.3694826009842,1500.0068807655082,false,3
42003473402,3759,1770114.0,865.8740524850897,2123.5920398347225,false,3
42003473300,5920,3299040.0,867.0957554288455,1794.4614190794898,false,3
42003526201,3633,6188706.0,888.7251532988846,587.0370962847484,false,1
42003451300,7291,31574227.0,892.2440158454093,230.91618363293583,false,1
42003453004,7398,7432588.0,911.3930305001772,995.3464392214395,false,2
42003459101,1706,6225779.0,923.3874986681127,274.02193364075407,false,1
42003447000,1655,3890221.0,949.3345070353668,425.4257020359512,false,1
42003563800,3813,15304379.0,956.8751003277188,249.14437887352372,false,1
42003503002,5771,5396855.0,995.9764775814094,1069.3264873708856,false,2
42003500300,3673,2936712.0,1025.976269500329,1250.7184906112686,false,2
42003459201,7371,23636112.0,1031.9010174657121,311.85332003842257,false,1
42003521401,3230,7326082.0,1033.9273125668535,440.89050600307235,false,1
42003523600,4912,5034901.0,1067.6988830474156,975.5901853879551,false,2
42003451105,5697,9296103.0,1085.1304257018476,612.8374438192003,false,1
42003521302,4210,7972525.0,1093.6609478500031,528.0635683174403,false,1
42003520002,3196,2720572.0,1133.390247442017,1174.7529563635883,false,2
42003475303,4208,3104903.0,1142.0998042916326,1355.2758330936588,false,2
42003426700,2218,3749824.0,1144.5135457874192,591.494427471796,false,1
42003551300,2303,3951643.0,1152.6954492201519,582.7955612387051,false,1
42003474101,4247,4058871.0,1158.8474431009274,1046.350081093979,false,2
42003564100,969,2572032.0,1173.4354212304252,376.744923857868,false,1
42003453003,1930,15578664.0,1209.3419637488266,123.88738854628356,false,1
42003564200,2171,13992433.0,1212.493061479721,155.15529000567665,false,1
42003521301,4311,7669712.0,1237.185911543903,562.081079446008,false,1
42003488300,1979,6211256.0,1240.635602412416,318.61510779784317,false,1
42003451102,6088,5963556.0,1274.3227584692086,1020.8674153474874,false,2
42003521100,4420,4688466.0,1289.947733588635,942.7390536691532,false,2
42003427100,5524,6263033.0,1309.413366899758,882.0007814105402,false,2
42003490002,5027,8249911.0,1350.1619751702815,609.3399068183887,false,1
