route_id,route_name,mode,avg_otp,weighted_aadt,max_aadt,median_aadt,p90_aadt,avg_truck_pct,match_rate,n_segments,stop_count,span_km
69,TRAFFORD,BUS,0.6026573170731707,8681.014665326518,40605,5909.0,15818.600000000002,5.5045981163997695,0.873137179977073,172,209,22.574311709378655
18,MANCHESTER,BUS,0.8840963855421686,8380.32788566807,26057,4396.5,13974.5,6.443756226020574,0.9215686274509803,36,43,2.140481159734372
P76,LINCOLN HIGHWAY FLYER,BUS,0.6996135802469136,8306.409355386952,25032,7044.0,13741.8,5.335938673207428,0.6764163979732842,124,100,20.75113983556403
P7,MCKEESPORT FLYER,BUS,0.7169891566265061,8283.582038908891,34022,5485.0,12644.900000000009,5.0053829476256375,0.5997904662126768,102,101,16.690814353560626
71B,HIGHLAND PARK,BUS,0.5879493975903615,8192.469916427464,27673,5543.0,14755.4,5.112388548784515,0.9304523970290345,74,107,8.00855276887158
74,HOMEWOOD-SQUIRREL HILL,BUS,0.6572341463414634,8162.873556051733,44041,5116.0,11136.0,3.9507435648986813,0.5484042553191489,51,171,5.981898239920018
71C,POINT BREEZE,BUS,0.6080518072289156,8126.619221829775,27673,6911.0,12114.399999999998,3.918854582862279,0.8458904109589042,47,100,6.65374995721062
4,TROY HILL,BUS,0.7532843373493976,8124.265577512761,43579,4953.0,16421.800000000014,6.112558485028286,0.842964824120603,59,96,6.669512989249653
7,SPRING GARDEN,BUS,0.7074795180722891,7933.514810945133,43579,5255.0,12771.8,5.5176630051111175,0.7501842299189388,47,67,5.529351642279202
71D,HAMILTON,BUS,0.6559621951219512,7797.934736155569,27673,6029.0,11532.399999999996,4.134732722888257,0.9417206290471786,37,93,6.992827708097283
P69,TRAFFORD FLYER,BUS,0.6454650602409638,7770.0285890738105,25032,6600.0,13728.2,5.6594385557561155,0.5907247845919918,98,128,22.574311709378655
14,OHIO VALLEY,BUS,0.7563674698795181,7654.684417347942,27250,3418.5,13251.5,5.573950776186659,0.8369289340101523,96,138,24.12865021014509
71A,NEGLEY,BUS,0.6446518072289156,7602.901043712954,27673,5985.5,10828.4,4.203498402828787,0.9987373737373737,32,72,5.918423835705078
13,BELLEVUE,BUS,0.712666265060241,7589.70059848652,27842,3783.5,10817.699999999997,5.500071933475922,0.8230607966457023,62,133,9.35692555158862
P78,OAKMONT FLYER,BUS,0.5961602409638553,7522.39533407743,20697,6948.0,14853.5,4.803308415480958,0.6548927263212978,88,149,18.377446047902815
19L,EMSWORTH LIMITED,BUS,0.6602963855421686,7426.246822231467,27250,3594.5,13111.0,5.846803580907565,0.9315762797769893,102,81,12.13634801782539
P68,BRADDOCK HILLS FLYER,BUS,0.6795807228915662,7424.707423516906,34022,5925.0,12759.0,5.235315343430305,0.5170933375735411,96,175,21.088131221771317
55,GLASSPORT,BUS,0.7121536585365854,7399.070987328644,19953,5663.0,15012.699999999999,5.804352217261142,0.7922860586580956,88,199,12.465259955456785
86,LIBERTY,BUS,0.628733734939759,7272.841848535301,20697,5428.0,11331.0,4.48177113801017,0.9134199134199135,61,142,9.903352732145715
87,FRIENDSHIP,BUS,0.6755170731707317,7202.015663813824,20697,5821.0,11499.0,4.8091679824605515,0.8534405719392315,55,175,8.37811622720184
88,PENN,BUS,0.6430156626506024,7108.6691311147215,20697,5821.0,11262.2,5.113997456446205,0.9555757026291931,55,70,7.702739777369081
82,LINCOLN,BUS,0.6079463414634146,6977.219879676236,20697,4021.0,11060.4,4.728592647047792,0.946949602122016,93,136,10.139159614402985
6,SPRING HILL,BUS,0.7247855421686747,6958.218631443043,35228,4940.0,12101.000000000002,5.592392491806535,0.5032397408207343,50,80,4.8477882512128785
8,PERRYSVILLE,BUS,0.7659469879518073,6841.006385603367,38142,5395.0,11076.0,5.137653290762644,0.6650660264105642,46,119,8.943429869971231
17,SHADELAND,BUS,0.6683573170731708,6828.33882472004,38142,4795.5,9639.300000000003,5.4895166435658815,0.7679765886287625,70,101,6.933390352884643
59,MON VALLEY,BUS,0.689755421686747,6704.611598855308,29949,5524.0,15605.800000000001,5.598009927514294,0.7424289245982695,129,334,12.895827524446
P17,LINCOLN PARK FLYER,BUS,0.689380487804878,6314.79912134741,20697,4753.5,11289.3,4.784120830764955,0.5133446905167518,72,177,12.69086876843747
15,CHARLES,BUS,0.6856385542168675,6285.492875218669,42115,3906.0,11257.800000000001,5.320731217128914,0.9324215607401448,53,95,5.509012670599699
60,MCKEESPORT - WALNUT,BUS,0.7833819277108435,6105.26605164297,12698,6047.0,8821.2,5.484445289837843,0.7997043606799704,23,88,5.058923463300133
89,GARFIELD COMMONS,BUS,0.722351219512195,5876.686792635346,13000,5985.5,10004.900000000001,3.910698739238384,0.5297549591598599,20,54,3.067484551879533
11,FINEVIEW,BUS,0.7557734939759037,5472.188480349964,13977,4462.0,11184.6,6.013599586847994,0.47326732673267324,35,55,3.444644227353401
16,BRIGHTON,BUS,0.7138240963855421,4567.841299971587,12025,4020.0,7613.000000000001,5.300509614977723,0.9084092126405999,48,95,9.22508834471124
79,EAST HILLS,BUS,0.709910975609756,4163.007043540912,17116,4040.0,9385.999999999993,4.697450345724947,0.5885885885885885,19,114,4.013750915271161
