route_id,month,mode,otp,daily_trips,delta_otp,delta_trips,detrended_delta_otp
43,2019-04,BUS,0.777,44,-0.0030999999999999917,0,0.030733695652173917
43,2019-05,BUS,0.777,44,0.0,0,0.029943478260869565
43,2019-06,BUS,0.7295,44,-0.04749999999999999,0,-0.04848043478260868
43,2019-07,BUS,0.7776,44,0.04809999999999992,0,-0.00568913043478269
43,2019-08,BUS,0.7811,44,0.0035000000000000586,0,0.008914130434782667
43,2019-09,BUS,0.8235,44,0.04239999999999999,0,0.05773478260869565
43,2019-10,BUS,0.8073,44,-0.016199999999999992,0,-0.03084999999999999
43,2019-11,BUS,0.8037,44,-0.0036000000000000476,0,0.0035956521739129946
43,2019-12,BUS,0.7792,44,-0.024499999999999966,0,-0.057331521739130385
43,2020-01,BUS,0.8141,44,0.03490000000000004,0,0.022077173913043514
43,2020-02,BUS,0.8287,44,0.014599999999999946,0,0.027039560439560392
43,2020-03,BUS,0.8173,132,-0.011399999999999966,88,-0.04768695652173909
43,2020-04,BUS,0.7552,96,-0.062100000000000044,-36,-0.04049456521739135
43,2020-05,BUS,0.733,96,-0.022199999999999998,0,-0.017626086956521732
43,2020-06,BUS,0.777,96,0.04400000000000004,0,0.061790217391304386
43,2020-07,BUS,0.7299,96,-0.04710000000000003,0,-0.049416304347826116
43,2020-08,BUS,0.7828,96,0.05290000000000006,0,0.05315591397849467
43,2020-09,BUS,0.8,44,0.017199999999999993,-52,0.018220430107526876
43,2020-10,BUS,0.7751,44,-0.024900000000000033,0,-0.02766129032258068
43,2020-12,BUS,0.7419,34,-0.03320000000000001,-10,-0.021390322580645167
43,2021-01,BUS,0.7455,34,0.0036000000000000476,0,-0.010708602150537592
43,2021-02,BUS,0.7378,34,-0.00770000000000004,0,-0.002372043010752724
43,2021-03,BUS,0.7977,34,0.05989999999999995,0,0.043715053763440814
44,2019-02,BUS,0.7864,64,0.01969999999999994,0,0.03346739130434777
44,2019-03,BUS,0.756,64,-0.030399999999999983,0,-0.04429565217391303
44,2019-04,BUS,0.7391,64,-0.016900000000000026,0,0.016933695652173883
44,2019-05,BUS,0.7493,64,0.010199999999999987,0,0.04014347826086955
44,2019-06,BUS,0.7166,64,-0.03269999999999995,0,-0.03368043478260865
44,2019-07,BUS,0.7632,64,0.046599999999999975,0,-0.007189130434782635
44,2019-08,BUS,0.7141,64,-0.04910000000000003,0,-0.043685869565217424
44,2019-09,BUS,0.7079,64,-0.006199999999999983,0,0.00913478260869567
44,2019-10,BUS,0.7165,64,0.008600000000000052,0,-0.006049999999999946
44,2019-11,BUS,0.767,64,0.05049999999999999,0,0.05769565217391303
44,2019-12,BUS,0.7651,64,-0.0019000000000000128,0,-0.03473152173913043
44,2020-01,BUS,0.7921,64,0.027000000000000024,0,0.014177173913043498
44,2020-02,BUS,0.8306,64,0.03849999999999998,0,0.050939560439560425
44,2020-03,BUS,0.825,192,-0.005600000000000049,128,-0.041886956521739176
44,2020-04,BUS,0.7511,108,-0.07389999999999997,-84,-0.05229456521739127
44,2020-05,BUS,0.7527,108,0.0016000000000000458,0,0.00617391304347831
44,2020-06,BUS,0.7444,108,-0.008300000000000085,0,0.009490217391304262
44,2020-07,BUS,0.6948,108,-0.04959999999999998,0,-0.05191630434782606
44,2020-08,BUS,0.723,108,0.028200000000000003,0,0.02845591397849462
44,2020-09,BUS,0.7323,64,0.009299999999999975,-44,0.010320430107526857
44,2020-10,BUS,0.757,64,0.024700000000000055,0,0.02193870967741941
44,2020-11,BUS,0.7767,66,0.01969999999999994,2,-0.0001102941176471181
44,2020-12,BUS,0.7591,66,-0.01759999999999995,0,-0.005790322580645109
44,2021-01,BUS,0.7645,66,0.00539999999999996,0,-0.00890860215053768
44,2021-02,BUS,0.7554,66,-0.009099999999999997,0,-0.003772043010752681
44,2021-03,BUS,0.7527,66,-0.0026999999999999247,0,-0.018884946236559067
48,2019-02,BUS,0.7539,88,-0.010800000000000032,0,0.0029673913043477985
48,2019-03,BUS,0.7242,88,-0.02970000000000006,0,-0.043595652173913105
48,2019-04,BUS,0.6448,88,-0.07939999999999992,0,-0.045566304347826006
48,2019-05,BUS,0.6535,88,0.00869999999999993,0,0.038643478260869495
48,2019-06,BUS,0.5977,88,-0.05579999999999996,0,-0.056780434782608656
48,2019-07,BUS,0.6977,88,0.09999999999999998,0,0.04621086956521737
48,2019-08,BUS,0.7262,88,0.02849999999999997,0,0.03391413043478258
48,2019-09,BUS,0.7697,88,0.043500000000000094,0,0.05883478260869575
48,2019-10,BUS,0.771,88,0.0012999999999999678,0,-0.01335000000000003
48,2019-11,BUS,0.8005,88,0.02949999999999997,0,0.03669565217391301
48,2019-12,BUS,0.817,88,0.01649999999999996,0,-0.01633152173913046
48,2020-01,BUS,0.8337,88,0.016700000000000048,0,0.003877173913043522
48,2020-02,BUS,0.848,88,0.01429999999999998,0,0.026739560439560425
48,2020-03,BUS,0.8242,264,-0.023799999999999932,176,-0.06008695652173906
48,2020-04,BUS,0.7085,138,-0.11570000000000003,-126,-0.09409456521739133
48,2020-05,BUS,0.7398,138,0.031299999999999994,0,0.035873913043478256
48,2020-06,BUS,0.7402,138,0.00039999999999995595,0,0.018190217391304303
48,2020-07,BUS,0.7242,138,-0.016000000000000014,0,-0.018316304347826096
48,2020-08,BUS,0.752,138,0.027800000000000047,0,0.028055913978494666
48,2020-09,BUS,0.7576,88,0.005600000000000049,-50,0.006620430107526933
48,2020-10,BUS,0.7576,88,0.0,0,-0.0027612903225806462
48,2020-11,BUS,0.7681,88,0.010499999999999954,0,-0.009310294117647104
48,2020-12,BUS,0.7248,76,-0.043300000000000005,-12,-0.031490322580645165
48,2021-01,BUS,0.7139,76,-0.01090000000000002,0,-0.025208602150537662
48,2021-02,BUS,0.7637,76,0.049800000000000066,0,0.055127956989247384
48,2021-03,BUS,0.8182,76,0.05449999999999999,0,0.038315053763440854
51,2019-02,BUS,0.6669,206,0.0012000000000000899,0,0.01496739130434792
51,2019-03,BUS,0.6775,206,0.010599999999999943,0,-0.0032956521739131057
51,2019-04,BUS,0.6208,206,-0.05669999999999997,0,-0.022866304347826064
51,2019-05,BUS,0.6148,206,-0.006000000000000005,0,0.02394347826086956
51,2019-06,BUS,0.5577,206,-0.05710000000000004,0,-0.058080434782608735
51,2019-07,BUS,0.6093,206,0.05159999999999998,0,-0.002189130434782631
51,2019-08,BUS,0.6451,206,0.035800000000000054,0,0.04121413043478266
51,2019-09,BUS,0.6156,206,-0.02949999999999997,0,-0.014165217391304318
51,2019-10,BUS,0.6528,206,0.03720000000000001,0,0.022550000000000014
51,2019-11,BUS,0.7023,206,0.04949999999999999,0,0.05669565217391303
51,2019-12,BUS,0.7366,206,0.0343,0,0.0014684782608695782
51,2020-01,BUS,0.7683,206,0.03169999999999995,0,0.018877173913043423
51,2020-02,BUS,0.7578,206,-0.010499999999999954,0,0.0019395604395604903
51,2020-03,BUS,0.7865,618,0.028699999999999948,412,-0.0075869565217391785
51,2020-04,BUS,0.7927,270,0.006199999999999983,-348,0.027805434782608673
51,2020-05,BUS,0.7661,270,-0.026599999999999957,0,-0.022026086956521692
51,2020-06,BUS,0.7363,270,-0.02980000000000005,0,-0.012009782608695702
51,2020-07,BUS,0.7253,270,-0.01100000000000001,0,-0.013316304347826092
51,2020-08,BUS,0.7405,270,0.015200000000000102,0,0.01545591397849472
51,2020-09,BUS,0.7314,206,-0.009099999999999997,-64,-0.008079569892473114
51,2020-10,BUS,0.6764,206,-0.05500000000000005,0,-0.0577612903225807
51,2020-11,BUS,0.7507,206,0.07430000000000003,0,0.054489705882352975
51,2020-12,BUS,0.7425,206,-0.008199999999999985,0,0.003609677419354855
51,2021-01,BUS,0.7754,206,0.03289999999999993,0,0.018591397849462288
51,2021-02,BUS,0.7446,206,-0.03079999999999994,0,-0.02547204301075262
51,2021-03,BUS,0.7629,206,0.018299999999999983,0,0.0021150537634408405
51L,2019-02,BUS,0.705,26,-0.010199999999999987,0,0.0035673913043478434
51L,2019-03,BUS,0.7388,26,0.03380000000000005,0,0.019904347826087004
51L,2019-04,BUS,0.6425,26,-0.09630000000000005,0,-0.06246630434782614
51L,2019-05,BUS,0.629,26,-0.013499999999999956,0,0.016443478260869608
51L,2019-06,BUS,0.6678,26,0.038799999999999946,0,0.03781956521739125
51L,2019-07,BUS,0.7409,26,0.07310000000000005,0,0.019310869565217444
51L,2019-08,BUS,0.6866,26,-0.054300000000000015,0,-0.048885869565217406
51L,2019-09,BUS,0.6585,26,-0.028100000000000014,0,-0.012765217391304361
51L,2019-10,BUS,0.6993,26,0.04080000000000006,0,0.026150000000000062
51L,2019-11,BUS,0.6559,26,-0.043399999999999994,0,-0.036204347826086954
51L,2019-12,BUS,0.7332,26,0.07729999999999992,0,0.044468478260869505
51L,2020-01,BUS,0.7512,26,0.018000000000000016,0,0.00517717391304349
51L,2020-02,BUS,0.7567,26,0.00550000000000006,0,0.017939560439560506
51L,2020-03,BUS,0.7937,78,0.03699999999999992,52,0.0007130434782607956
51L,2020-04,BUS,0.787,57,-0.006699999999999928,-21,0.014905434782608761
51L,2020-05,BUS,0.7902,57,0.0031999999999999806,0,0.007773913043478245
51L,2020-06,BUS,0.794,57,0.0038000000000000256,0,0.021590217391304373
51L,2020-07,BUS,0.8033,57,0.009299999999999975,0,0.006983695652173892
51L,2020-08,BUS,0.7812,57,-0.02210000000000001,0,-0.02184408602150539
51L,2020-09,BUS,0.8451,26,0.06389999999999996,-31,0.06492043010752684
51L,2020-10,BUS,0.7989,26,-0.04619999999999991,0,-0.04896129032258056
51L,2020-11,BUS,0.8319,26,0.03299999999999992,0,0.01318970588235286
51L,2020-12,BUS,0.8073,24,-0.024599999999999955,-2,-0.012790322580645115
51L,2021-01,BUS,0.8014,24,-0.005900000000000016,0,-0.020208602150537658
51L,2021-02,BUS,0.7787,24,-0.022700000000000053,0,-0.017372043010752736
51L,2021-03,BUS,0.8326,24,0.05390000000000006,0,0.03771505376344092
52L,2019-02,BUS,0.7197,20,0.01990000000000003,0,0.03366739130434786
52L,2019-03,BUS,0.7052,20,-0.014499999999999957,0,-0.028395652173913006
52L,2019-04,BUS,0.7747,20,0.0695,0,0.10333369565217392
52L,2019-05,BUS,0.7959,20,0.021199999999999997,0,0.05114347826086956
52L,2019-06,BUS,0.7152,20,-0.0807000000000001,0,-0.0816804347826088
52L,2019-07,BUS,0.7487,20,0.033500000000000085,0,-0.020289130434782525
52L,2019-08,BUS,0.7623,20,0.013599999999999945,0,0.019014130434782554
52L,2019-09,BUS,0.6281,24,-0.13419999999999999,4,-0.11886521739130433
52L,2019-10,BUS,0.6303,24,0.0021999999999999797,0,-0.012450000000000018
52L,2019-11,BUS,0.5915,24,-0.038799999999999946,0,-0.031604347826086905
52L,2019-12,BUS,0.6423,24,0.050799999999999956,0,0.017968478260869537
52L,2020-01,BUS,0.7036,24,0.06130000000000002,0,0.04847717391304349
52L,2020-02,BUS,0.6384,24,-0.06520000000000004,0,-0.05276043956043959
52L,2020-03,BUS,0.716,72,0.0776,48,0.041313043478260876
52L,2020-04,BUS,0.642,72,-0.07399999999999995,0,-0.05239456521739126
52L,2020-05,BUS,0.5982,72,-0.04380000000000006,0,-0.0392260869565218
52L,2020-06,BUS,0.5755,72,-0.022699999999999942,0,-0.004909782608695595
52L,2020-07,BUS,0.5781,72,0.0025999999999999357,0,0.0002836956521738527
52L,2020-08,BUS,0.6341,72,0.05600000000000005,0,0.056255913978494665
52L,2020-09,BUS,0.6689,24,0.03480000000000005,-48,0.03582043010752694
52L,2020-10,BUS,0.6575,24,-0.011400000000000077,0,-0.014161290322580723
52L,2020-11,BUS,0.6869,24,0.02939999999999998,0,0.009589705882352924
52L,2020-12,BUS,0.6186,24,-0.06829999999999992,0,-0.056490322580645076
52L,2021-01,BUS,0.5604,24,-0.05820000000000003,0,-0.07250860215053767
