route_id,route_name,mode,months,mean_otp,std_otp,min_otp,max_otp,recent_mean_otp,slope,slope_stderr,slope_ci_lo,slope_ci_hi,slope_significant,slope_months,obs_span_months,stop_count,limited_data,high_volatility,rank_avg,rank_slope,rank_volatility,mode_rank
57,HAZELWOOD,BUS,83,0.661587951807229,0.058302590407226115,0.3707,0.7587,0.6449666666666667,-0.006644680851063834,0.00784283995524477,-0.022016647163343582,0.008727285461215914,0.0,47,47,79,false,false,57.0,46.0,37.0,53.0
2,MOUNT ROYAL,BUS,82,0.6322256097560975,0.04121716893547767,0.5369,0.7303,0.6447666666666667,0.003384227567067525,0.005360401267678482,-0.007122158917582298,0.013890614051717348,0.0,47,47,187,false,false,58.0,33.0,8.0,54.0
93,LAWRENCEVILLE - HAZELWOOD,BUS,83,0.6605530120481927,0.09488957425235162,0.3315,0.7646,0.6403,-0.0036649398704902882,0.013128427103691907,-0.029396656993726428,0.022066777252745848,0.0,47,47,173,false,false,59.0,44.0,85.0,55.0
52L,HOMEVILLE LIMITED,BUS,83,0.6749771084337349,0.0530975754471534,0.5592,0.7959,0.6386416666666667,-0.018311655874190563,0.00558959143753948,-0.029267255091767946,-0.007356056656613182,1.0,47,47,136,false,false,60.0,62.0,25.0,56.0
P10,ALLEGHENY VALLEY FLYER,BUS,83,0.6431036144578314,0.05581993359702577,0.5156,0.7595,0.6358166666666667,0.011530989824236813,0.006766916384139621,-0.001732166288676843,0.02479414593715047,0.0,47,47,189,false,false,61.0,19.0,31.0,57.0
56,LINCOLN PLACE,BUS,83,0.6623096385542169,0.07272200595327225,0.3651,0.7772,0.6338,0.0008191026827011998,0.01111829164659192,-0.020972748944618962,0.022610954310021362,0.0,47,47,142,false,false,62.0,37.0,64.0,58.0
87,FRIENDSHIP,BUS,82,0.6755170731707317,0.06611901690335523,0.514,0.7728,0.6314833333333334,-0.009165646385467213,0.008837545049277662,-0.02648723468205143,0.008155941911117005,0.0,46,47,175,false,false,63.0,49.0,49.0,59.0
15,CHARLES,BUS,83,0.6856385542168675,0.12724079039108357,0.3503,0.8401,0.6290749999999999,-0.026798381128584618,0.01813355007820156,-0.06234013928185968,0.00874337702469044,0.0,47,47,95,false,true,64.0,72.0,92.0,60.0
1,FREEPORT ROAD,BUS,82,0.6164829268292683,0.055850235816070036,0.461,0.7201,0.6289666666666666,-0.006964662349676225,0.007807827344113286,-0.022268003944138266,0.008338679244785815,0.0,47,47,221,false,false,65.0,48.0,32.0,61.0
6,SPRING HILL,BUS,83,0.7247855421686747,0.08358090447763789,0.4886,0.8426,0.6268083333333333,-0.04497765957446809,0.007885760235269714,-0.06043374963559672,-0.02952156951333945,1.0,47,47,80,false,false,66.0,84.0,76.0,62.0
71A,NEGLEY,BUS,83,0.6446518072289156,0.07534594905751084,0.3906,0.7724,0.6256166666666667,0.003272109158186866,0.009349514450921737,-0.015052939165619738,0.021597157481993468,0.0,47,47,72,false,false,67.0,34.0,67.0,63.0
19L,EMSWORTH LIMITED,BUS,83,0.6602963855421686,0.07551658264956815,0.4888,0.7905,0.6231666666666666,-0.041961563367252555,0.00802760158147805,-0.05769566246694953,-0.026227464267555577,1.0,47,47,81,false,false,68.0,83.0,68.0,64.0
P69,TRAFFORD FLYER,BUS,83,0.6454650602409638,0.07075228761919988,0.4604,0.7793,0.620375,-0.021859620721554108,0.006806155413503133,-0.035199685332020246,-0.008519556111087968,1.0,47,47,128,false,false,69.0,65.0,60.0,65.0
P17,LINCOLN PARK FLYER,BUS,82,0.689380487804878,0.07495648521844073,0.5279,0.8276,0.6138416666666666,-0.03838334875115634,0.006622162437497584,-0.05136278712865161,-0.025403910373661076,1.0,47,47,177,false,false,70.0,80.0,66.0,66.0
P67,MONROEVILLE FLYER,BUS,83,0.6799807228915663,0.06800450210675854,0.435,0.85,0.6083416666666667,-0.02910860314523589,0.008101944784357322,-0.04498841492257624,-0.013228791367895537,1.0,47,47,69,false,false,71.0,74.0,54.0,67.0
69,TRAFFORD,BUS,82,0.6026573170731707,0.07804642497880539,0.2971,0.7493,0.6072333333333333,0.013238575393154487,0.009910674363113126,-0.006186346358547239,0.03266349714485621,0.0,47,47,209,false,false,72.0,15.0,69.0,68.0
77,PENN HILLS,BUS,83,0.5577253012048192,0.058442260109243416,0.3834,0.6866,0.6065333333333333,0.006121415356151707,0.00886236174529649,-0.011248813664629414,0.023491644376932828,0.0,47,47,258,false,false,73.0,27.0,38.0,69.0
71C,POINT BREEZE,BUS,83,0.6080518072289156,0.060886436395456704,0.429,0.7109,0.604575,0.012346623496762264,0.007578507071718295,-0.002507250363805594,0.02720049735733012,0.0,47,47,100,false,false,74.0,16.0,42.0,70.0
67,MONROEVILLE,BUS,82,0.6035817073170732,0.05077939002558097,0.3458,0.6941,0.6014166666666666,0.001544403330249762,0.006695522404643684,-0.011578820582851859,0.014667627243351382,0.0,47,47,191,false,false,75.0,35.0,21.0,71.0
P71,SWISSVALE FLYER,BUS,81,0.6818679012345679,0.07872114840873534,0.4807,0.835,0.5905454545454546,-0.04670460935448882,0.008186642973055856,-0.0627504295816783,-0.030658789127299343,1.0,46,47,111,false,false,76.0,87.0,72.0,72.0
28X,AIRPORT FLYER,BUS,83,0.6166469879518072,0.04356734998504464,0.5181,0.7073,0.5876,-0.01578621646623497,0.004271131326527622,-0.024157633866229107,-0.00741479906624083,1.0,47,47,74,false,false,77.0,59.0,11.0,73.0
91,BUTLER STREET,BUS,83,0.6465373493975903,0.05545157129191453,0.5129,0.7516,0.5833666666666667,-0.019017252543940797,0.006879584371243221,-0.03250123791157751,-0.005533267176304084,1.0,47,47,158,false,false,78.0,63.0,30.0,74.0
O12,MCKNIGHT FLYER,BUS,83,0.6471686746987952,0.06838750229518097,0.4591,0.7891,0.5823333333333335,-0.03414962997224791,0.007278148347834688,-0.04841480073400389,-0.01988445921049192,1.0,47,47,64,false,false,79.0,77.0,55.0,75.0
74,HOMEWOOD-SQUIRREL HILL,BUS,82,0.6572341463414634,0.061524296554663745,0.4826,0.7639,0.5732916666666666,-0.04159981498612396,0.006556857237480683,-0.054451255171586097,-0.02874837480066182,1.0,47,47,171,false,false,80.0,82.0,45.0,76.0
64,LAWRENCEVILLE - WATERFRONT,BUS,82,0.680559756097561,0.08883698187178535,0.484,0.8022,0.57165,-0.053062673450508795,0.0066620895950924314,-0.06612036905688996,-0.040004977844127626,1.0,47,47,110,false,false,81.0,88.0,78.0,77.0
53L,HOMESTEAD PARK LIMITED,BUS,82,0.6500780487804878,0.06652924730344556,0.444,0.7706,0.5694916666666666,-0.03910198889916742,0.0055254079641414945,-0.049931788508884745,-0.02827218928945009,1.0,47,47,146,false,false,82.0,81.0,51.0,78.0
81,OAK HILL,BUS,83,0.6691469879518073,0.08957077367598483,0.4412,0.8372,0.5616916666666668,-0.05832030527289544,0.007643625144675101,-0.07330181055645864,-0.04333879998933224,1.0,47,47,93,false,false,83.0,90.0,79.0,79.0
83,BEDFORD HILL,BUS,83,0.6541397590361445,0.09192873690111221,0.3497,0.8113,0.5560333333333333,-0.03481928769657725,0.009605983838314713,-0.05364701601967409,-0.015991559373480416,1.0,47,47,106,false,false,84.0,78.0,82.0,80.0
82,LINCOLN,BUS,82,0.6079463414634146,0.06923489128781124,0.4568,0.7244,0.5428666666666667,-0.045681868640148025,0.005582969910928137,-0.05662448966556717,-0.03473924761472888,1.0,47,47,136,false,false,85.0,86.0,57.0,81.0
P12,HOLIDAY PARK FLYER,BUS,82,0.6679280487804878,0.07807831660929168,0.4739,0.7957,0.531275,-0.058378307123034226,0.008160799314919375,-0.0743734737802762,-0.04238314046579225,1.0,47,47,62,false,false,86.0,91.0,70.0,82.0
P16,PENN HILLS FLYER,BUS,83,0.6379180722891566,0.0695663416381912,0.4532,0.7472,0.5307000000000001,-0.02445846438482887,0.007723586186811811,-0.03959669331098002,-0.00932023545867772,1.0,47,47,199,false,false,87.0,70.0,59.0,83.0
61A,NORTH BRADDOCK,BUS,83,0.5899975903614457,0.09472979670814634,0.3953,0.7547,0.5030916666666667,-0.014681822386679002,0.007927241488361061,-0.03021921570386668,0.0008555709305086787,0.0,47,47,187,false,false,88.0,56.0,84.0,84.0
61B,BRADDOCK-SWISSVALE,BUS,83,0.5842313253012048,0.09183489151429136,0.3746,0.7407,0.5006166666666666,-0.01560235892691952,0.008516306190497421,-0.032294319060294466,0.0010896012064554247,0.0,47,47,137,false,false,89.0,57.0,81.0,85.0
58,GREENFIELD,BUS,83,0.6076132530120482,0.1100022957311263,0.3823,0.7736,0.4981916666666666,-0.045382978723404244,0.010238851660951708,-0.0654511279788696,-0.025314829467938896,1.0,47,47,102,false,false,90.0,85.0,90.0,86.0
65,SQUIRREL HILL,BUS,81,0.6150641975308642,0.15923314456218127,0.282,0.8435,0.46549999999999997,-0.08328766738239313,0.017440781455456137,-0.11747159903508715,-0.0491037357296991,1.0,46,47,70,false,true,91.0,93.0,93.0,87.0
61C,MCKEESPORT-HOMESTEAD,BUS,83,0.5677506024096386,0.09952162943422115,0.3906,0.7609,0.447525,-0.054056614246068474,0.006036947610996551,-0.06588903156362172,-0.042224196928515235,1.0,47,47,158,false,false,92.0,89.0,87.0,88.0
71B,HIGHLAND PARK,BUS,83,0.5879493975903615,0.11642189192915724,0.3377,0.7568,0.41874166666666673,-0.07167308048103609,0.008367938032261343,-0.08807423902426832,-0.05527192193780385,1.0,47,47,107,false,false,93.0,92.0,91.0,89.0
37,CASTLE SHANNON,UNKNOWN,3,0.8142999999999999,0.01305028735315817,0.8049,0.8292,,,,,,,,,,true,false,,,,
42,POTOMAC,UNKNOWN,3,0.8308,0.05920751641472558,0.7887,0.8985,,,,,,,,,,true,false,,,,
53,HOMESTEAD PARK,BUS,2,0.71645,0.01689985207035851,0.7045,0.7284,,,,,,,,,110,true,false,,,,
P2,EAST BUSWAY SHORT,UNKNOWN,57,0.8377,0.10247885670433957,0.3214,0.9148,,-0.023415584415584417,0.011912612730434782,-0.04676430536723659,-0.00006686346393224712,1.0,21,21,,false,false,,68.0,89.0,
RLSH,Red Line Shuttle,UNKNOWN,3,0.9751333333333333,0.009298566197717479,0.9682,0.9857,,,,,,,,,,true,false,,,,
