rank,route_id,route_name,mode,weekday_avg_riders,sat_avg_riders,sun_avg_riders,n_months,short_history,system_share,cum_share
82,60,60 - MCKEESPORT - WALNUT,Bus,419.94899709854064,152.76994047619047,109.74201388888888,94,false,0.002848791986070486,0.965518829392042
83,36,36 - BANKSVILLE,Bus,415.74879790511517,96.47881944444445,61.121180555555554,94,false,0.002820299255084579,0.9683391286471266
84,P10,P10 - ALLEGHENY VALLEY FLYER,Bus,402.3337994616514,,,94,false,0.002729296442069359,0.9710684250891959
85,19L,19L - EMSWORTH LIMITED,Bus,392.96582253295327,,,94,false,0.0026657472544666886,0.9737341723436626
86,37,37 - CASTLE SHANNON,Bus,380.8333333333333,296.53333333333336,278.3333333333333,3,true,0.002583444550467484,0.97631761689413
87,G31,G31 - BRIDGEVILLE FLYER,Bus,368.3553024296086,,,94,false,0.0024987978083962567,0.9788164147025262
88,Y1,Y1 - LARGE FLYER,Bus,360.83263995283806,,,94,false,0.0024477666100226397,0.9812641813125489
89,P71,P71 - SWISSVALE FLYER,Bus,314.38992834137315,,,94,false,0.0021327149595502404,0.9833968962720991
90,52L,52L - HOMEVILLE LIMITED,Bus,302.1085669718405,,,94,false,0.0020494023570930653,0.9854462986291922
91,P17,P17 - LINCOLN PARK FLYER,Bus,291.53288477796116,,,94,false,0.001977660505369861,0.987423959134562
92,P67,P67 - MONROEVILLE FLYER,Bus,279.0694751922696,,,94,false,0.0018931129493758151,0.9893170720839378
93,89,89 - GARFIELD COMMONS,Bus,270.9296649031543,182.08209219858156,111.00443262411346,94,false,0.0018378952289383865,0.9911549673128762
94,65,65 - SQUIRREL HILL,Bus,229.39115012217283,,,94,false,0.0015561119913573636,0.9927110793042336
95,P69,P69 - TRAFFORD FLYER,Bus,186.01332902941058,,-0.4,94,false,0.001261851521738326,0.9939729308259719
96,P13,P13 - MOUNT ROYAL FLYER,Bus,163.330846563891,7.4,,94,false,0.0011079812310163457,0.9950809120569882
97,68,,Bus,158.11791943627182,438.726923076923,223.93675213675218,30,false,0.0010726184961896536,0.9961535305531779
98,Y45,Y45 - BALDWIN MANOR FLYER,Bus,155.31668091471636,,,94,false,0.0010536158413281954,0.9972071463945061
99,78,,Bus,114.24903381642523,,,9,true,0.0007750268108775993,0.9979821732053837
100,7,7 - SPRING GARDEN,Bus,98.77401001873957,,,94,false,0.00067004948247895,0.9986522226878627
101,O5,O5 - THOMPSON RUN FLYER VIA 279,Bus,68.6357039632552,,,94,false,0.00046560140578915835,0.9991178240936518
102,18,18 - MANCHESTER,Bus,65.50862445407945,,,94,false,0.00044438835585429985,0.999562212449506
103,71,71 - EDGEWOOD TOWN CENTER,Bus,64.53557987770706,,-0.4,94,false,0.0004377875504936228,0.9999999999999997
