geoid,n_stops,n_signalized,n_nearside,n_signal_classified,use_total,use_signalized,use_classified,use_nearside,median_household_income,population,households_total,households_zero_vehicle,pop_black_nh,signalized_share,nearside_share,rw_signalized_share,rw_nearside_share,zero_vehicle_share,black_share
42003551200,20,3,3,3,169.03636363636363,35.24772727272727,35.24772727272727,35.24772727272727,29279.0,3172,1735,428,1437,0.15,1.0,0.20852156609659028,1.0,0.24668587896253602,0.4530264817150063
42003483800,33,21,18,21,2513.6863636363637,1502.5545454545452,1502.5545454545452,970.0272727272726,29306.0,2905,1264,469,1770,0.6363636363636364,0.8571428571428571,0.5977494118561836,0.6455853969905797,0.37104430379746833,0.6092943201376936
42003515300,15,5,5,5,290.520462485,215.84091577,215.84091577,215.84091577,29612.0,1488,905,198,532,0.3333333333333333,1.0,0.7429456566459383,1.0,0.21878453038674034,0.3575268817204301
42003050100,26,8,7,8,1189.8272605,374.434092,374.434092,356.94545600000004,30036.0,1561,909,475,1450,0.3076923076923077,0.875,0.3146961785382627,0.9532931525903897,0.5225522552255225,0.928891736066624
42003130700,39,12,11,12,552.8863705704546,272.0477303,272.0477303,261.7363663,30518.0,2068,1019,443,1930,0.3076923076923077,0.9166666666666666,0.49204998491698726,0.9620972246721956,0.43473994111874387,0.9332688588007737
42003513000,29,0,0,0,489.61363691500003,0.0,0.0,0.0,31321.0,2243,1102,508,1401,0.0,,0.0,,0.46098003629764067,0.6246098974587606
42003564800,21,9,9,9,660.993190205,445.215911075,445.215911075,445.215911075,33883.0,1951,776,297,1157,0.42857142857142855,1.0,0.6735559725462845,1.0,0.38273195876288657,0.593029215786776
42003552400,21,5,4,5,19.7,6.263636363636362,6.263636363636362,4.822727272727271,35331.0,3412,1385,109,511,0.23809523809523808,0.8,0.3179510844485463,0.7699564586357039,0.07870036101083032,0.14976553341148885
42003510000,24,3,3,3,373.05227272727274,56.881818181818176,56.881818181818176,56.881818181818176,35483.0,1866,809,276,1268,0.125,1.0,0.15247680376257286,1.0,0.3411619283065513,0.6795284030010718
42003481000,17,2,2,2,1217.6818107949998,353.21818774999997,353.21818774999997,353.21818774999997,35640.0,3357,1459,674,1220,0.11764705882352941,1.0,0.2900742908522145,1.0,0.46196024674434544,0.3634197199880846
42003484600,21,1,1,1,190.4522711609091,3.6159091500000002,3.6159091500000002,3.6159091500000002,35776.0,1815,1008,295,305,0.047619047619047616,1.0,0.018985907219478602,1.0,0.2926587301587302,0.16804407713498623
42003522000,3,2,1,2,22.240908295000004,21.184090100000002,21.184090100000002,0.0,35829.0,3084,1379,233,762,0.6666666666666666,0.5,0.952483136885305,0.0,0.16896301667875271,0.24708171206225682
42003517000,25,0,0,0,707.2704545454545,0.0,0.0,0.0,36138.0,1625,905,287,598,0.0,,0.0,,0.31712707182320443,0.368
42003508000,24,3,3,3,157.288636055,14.747727025000001,14.747727025000001,14.747727025000001,36161.0,1834,856,242,548,0.125,1.0,0.09376219029480985,1.0,0.2827102803738318,0.29880043620501634
42003492800,15,6,4,6,418.5613636363636,219.58409090909092,219.58409090909092,127.15909090909085,36250.0,2429,1002,146,1221,0.4,0.6666666666666666,0.5246162450384706,0.5790906362234386,0.14570858283433133,0.5026759983532317
42003492700,13,3,3,3,101.78636363636366,7.754545454545457,7.754545454545457,7.754545454545457,36583.0,1997,859,146,526,0.23076923076923078,1.0,0.07618452194882329,1.0,0.16996507566938301,0.26339509263895844
42003030500,41,13,12,13,2121.3431843,1392.5886395,1392.5886395,1344.2045440000002,36932.0,3044,1577,606,1821,0.3170731707317073,0.9230769230769231,0.6564655119485185,0.9652560030093511,0.3842739378566899,0.5982260183968463
42003281400,18,3,3,3,222.652272345,24.5272728,24.5272728,24.5272728,37533.0,2471,1097,200,851,0.16666666666666666,1.0,0.11015954403553069,1.0,0.18231540565177756,0.3443949817887495
42003250900,10,0,0,0,115.318184295,0.0,0.0,0.0,38438.0,1268,610,222,591,0.0,,0.0,,0.3639344262295082,0.46608832807570977
42003271600,42,4,4,4,986.725005175,297.18182275,297.18182275,297.18182275,38719.0,4310,2003,653,1874,0.09523809523809523,1.0,0.30117998549889136,1.0,0.3260109835247129,0.4348027842227378
42003111500,43,28,26,28,3074.474977525,2461.124990575,2461.124990575,2420.790900025,39331.0,3228,2050,739,1653,0.6511627906976745,0.9285714285714286,0.8005025276075733,0.9836115228992995,0.36048780487804877,0.5120817843866171
42003262000,31,0,0,0,510.94998783,0.0,0.0,0.0,39618.0,2466,1138,293,673,0.0,,0.0,,0.25746924428822493,0.272911597729116
42003486700,25,4,4,4,471.01363636363635,85.82272727272726,85.82272727272726,85.82272727272726,39662.0,2146,946,499,686,0.16,1.0,0.18220858303658452,1.0,0.5274841437632135,0.3196644920782852
42003561400,36,6,5,6,561.8204569650001,214.415906895,214.415906895,153.145452395,39788.0,3566,2303,852,2241,0.16666666666666666,0.8333333333333334,0.38164489070635166,0.7142448273205575,0.3699522362136344,0.6284352215367358
42003504100,40,4,3,4,668.5454666449999,14.440908845,14.440908845,13.911363394999999,39891.0,4860,2260,421,1444,0.1,0.75,0.021600488770748296,0.9633301854001143,0.18628318584070797,0.297119341563786
42003562600,34,16,13,16,642.1840950349999,346.53637241999996,346.53637241999996,337.75682685,40020.0,2712,1385,201,698,0.47058823529411764,0.8125,0.5396215432602909,0.9746648655992762,0.14512635379061373,0.25737463126843657
42003564700,42,14,12,14,1968.6090860472723,402.859099715,402.859099715,377.70910161999996,40433.0,2320,1134,530,1499,0.3333333333333333,0.8571428571428571,0.20464149158423936,0.9375712299590794,0.4673721340388007,0.6461206896551724
42003290100,9,3,3,3,795.19091545,351.00000700000004,351.00000700000004,351.00000700000004,41175.0,1841,749,179,264,0.3333333333333333,1.0,0.44140344184059055,1.0,0.2389853137516689,0.14340032590983162
42003290200,12,4,4,4,813.7749964,298.15681499999994,298.15681499999994,298.15681499999994,41321.0,4268,1912,594,881,0.3333333333333333,1.0,0.36638728926176667,1.0,0.3106694560669456,0.20641986879100283
42003501000,16,4,2,4,126.08409638500001,0.40000002000000007,0.40000002000000007,0.045454545,41382.0,1620,809,121,94,0.25,0.5,0.0031724859158969022,0.11363635681818214,0.14956736711990112,0.05802469135802469
