geoid,area_label,population,land_area_m2,pop_density,weekly_trips,boardings,boardings_per_1000,density_quartile,rail_served,expected_boardings,boardings_resid
42003445500,"Sewickley borough (Allegheny, PA)",3873,2588391.0,1496.296347808349,3586,143.05,36.93519235734573,3,false,63.12871831615391,0.351460702471285
42003492800,"Clairton city (Allegheny, PA)",2429,1647081.0,1474.7301438119923,3355,230.35,94.83326471799094,3,false,62.07145865389113,0.5644366287961309
42003475101,"Bethel Park municipality (Allegheny, PA)",4606,3134673.0,1469.3717654122138,1044,10.65,2.312201476335215,3,true,61.80911639977713,-0.7316967584193599
42003525100,,1977,1357813.0,1456.0178758046948,0,0.0,0.0,3,false,61.15592449207882,-1.7934825304288369
42003290100,Carrick,1841,1266000.0,1454.1864139020538,5862,215.65,117.13742531233025,2,true,61.06640796796276,0.5429020816217527
42003202300,Banksville,3677,2532238.0,1452.0751998824755,1508,30.2,8.213217296709274,2,false,60.96323826673965,-0.2979795123674074
42003320700,Overbrook,1880,1313842.0,1430.9178729253595,3532,136.85,72.79255319148936,2,true,59.93053915778703,0.35457174934644176
42003191100,Duquesne Heights,2276,1604781.0,1418.2620556948268,1974,27.5,12.082601054481547,2,false,59.31385861473674,-0.3255722535972869
42003499400,"Glassport borough (Allegheny, PA)",2844,2036887.0,1396.2482945789334,2115,122.85,43.19620253164557,2,false,58.24309740706333,0.3202582542592145
42003450700,"Coraopolis borough (Allegheny, PA)",2882,2076919.0,1387.6323535005458,920,53.3,18.4941013185288,2,false,57.824677641183165,-0.03475972633504809
42003562500,Esplen,2774,2020589.0,1372.8670204578964,7245,782.5999999999999,282.1196827685652,2,false,57.10849928693835,1.129854767850499
42003418000,"Cheswick borough (Allegheny, PA)",1638,1198394.0,1366.829273177269,2736,48.85,29.822954822954824,2,false,56.815965169149905,-0.06438261742448326
42003120900,Larimer,1574,1153119.0,1364.9935522699739,20640,553.0500000000001,351.36594663278277,2,false,56.72706000773404,0.9821695194159088
42003475301,"Bethel Park municipality (Allegheny, PA)",4605,3387769.0,1359.3016525034618,0,0.0,0.0,2,true,56.45150792897786,-1.7593014320954916
42003403500,"Tarentum borough (Allegheny, PA)",4328,3185730.0,1358.5583210127663,3289,202.9,46.880776340110906,2,false,56.41553464993603,0.5503878124748769
42003475303,"Bethel Park municipality (Allegheny, PA)",4208,3104903.0,1355.2758330936588,0,0.0,0.0,2,true,56.25671390405268,-1.757826419230648
42003525300,"Oakmont borough (Allegheny, PA)",2192,1621773.0,1351.6071608048724,840,22.8,10.401459854014599,2,false,56.07927394136524,-0.37990148311728
42003428100,"Reserve township (Allegheny, PA)",1200,924353.0,1298.2053393021931,1920,12.1,10.083333333333334,2,false,53.50442056773333,-0.6191604313973509
42003489001,"Pleasant Hills borough (Allegheny, PA)",4836,3729072.0,1296.8373901067075,5091,204.85,42.35938792390405,2,false,53.438661713553294,0.5776434310983687
42003480300,"Baldwin borough (Allegheny, PA)",3680,2840625.0,1295.4895489548956,2640,41.550000000000004,11.290760869565219,2,false,53.3738793162561,-0.10649075452081647
42003562600,Elliott,2712,2093529.0,1295.4203166041648,10658,354.85,130.844395280236,2,false,53.37055200877915,0.8159032278702685
42003501000,"Versailles borough (Allegheny, PA)",1620,1253698.0,1292.1772229037615,1567,70.15,43.30246913580247,2,false,53.21471781896388,0.1180577027550862
42003310200,Lincoln Place,3272,2542386.0,1286.9800258497332,4476,91.3,27.903422982885086,2,false,52.96510517416335,0.23308867321929405
42003563100,Westwood,3491,2714772.0,1285.9275106712462,3563,141.95,40.66170151818963,2,false,52.91457242139903,0.42347799438040346
42003475304,"Bethel Park municipality (Allegheny, PA)",5564,4349270.0,1279.2951460819863,0,0.0,0.0,2,true,52.59628133938937,-1.7291346581664944
42003523200,"Penn Hills township (Allegheny, PA)",4040,3220297.0,1254.5426710641907,5628,195.2,48.31683168316832,2,false,51.41051703408913,0.5732805589691883
42003500300,,3673,2936712.0,1250.7184906112686,0,0.0,0.0,2,false,51.22762095059329,-1.7179002434980837
42003526302,"Plum borough (Allegheny, PA)",4989,4001953.0,1246.6413273719108,630,186.0,37.282020444978954,2,false,51.03271499208622,0.5555651191890134
42003513800,"Braddock borough (Allegheny, PA)",1814,1458664.0,1243.6037360214552,11116,256.65,141.48291069459756,2,false,50.88756512665603,0.6959668553056351
42003468700,"Carnegie borough (Allegheny, PA)",1740,1414458.0,1230.1531752798599,2182,183.35000000000002,105.37356321839083,2,false,50.24545589562969,0.5559877808377212
42003429400,"Ross township (Allegheny, PA)",4375,3558361.0,1229.4986371534537,45,0.0,0.0,2,false,50.214235134173336,-1.7093906910726253
42003518001,"Forest Hills borough (Allegheny, PA)",3129,2567927.0,1218.492581759528,3470,120.39999999999999,38.47874720357942,2,false,49.689620164114615,0.37929964983122666
42003480200,"Baldwin borough (Allegheny, PA)",3758,3100501.0,1212.062179628389,3038,104.55,27.82064928153273,2,false,49.38342600769141,0.3211705420153903
42003426400,"Shaler township (Allegheny, PA)",4203,3493080.0,1203.2361125425127,3120,41.75,9.933380918391626,2,false,48.96354209095445,-0.0677171003902386
42003455000,,1459,1215882.0,1199.9519690233099,0,0.0,0.0,2,false,48.807418844494975,-1.6972940359978237
42003426300,"Shaler township (Allegheny, PA)",6249,5212411.0,1198.8693907675356,2760,23.4,3.744599135861738,2,false,48.75596827546525,-0.3094553559015887
42003488200,"West Mifflin borough (Allegheny, PA)",3455,2936297.0,1176.6520893492723,7384,248.35,71.88133140376266,2,false,47.70156561081711,0.7092664498364702
42003520002,"Wilkins township (Allegheny, PA)",3196,2720572.0,1174.7529563635883,160,1.35,0.42240300375469336,2,false,47.61156851440255,-1.3156717720955409
42003486800,"Duquesne city (Allegheny, PA)",1506,1282175.0,1174.5666543178584,8429,300.05,199.2363877822045,2,false,47.602741072825346,0.7919778684694907
42003141100,Swisshelm Park,1432,1220859.0,1172.944623416791,165,13.75,9.60195530726257,2,false,47.52589391031829,-0.5171815240912525
42003488100,"West Mifflin borough (Allegheny, PA)",2001,1707709.0,1171.7453032103244,245,12.75,6.371814092953524,2,false,47.46908347674618,-0.5471621093684231
42003470300,"Scott township (Allegheny, PA)",4008,3429047.0,1168.8378724467761,6056,130.4,32.53493013972056,2,false,47.33139681157825,0.434366018485572
42003475200,"Bethel Park municipality (Allegheny, PA)",5390,4720556.0,1141.8146506470848,116,8.4,1.5584415584415585,2,true,46.05405362828436,-0.6994691895209139
42003488400,"West Mifflin borough (Allegheny, PA)",4233,3730322.0,1134.7545868694447,3278,77.64999999999999,18.34396409166076,2,false,45.72105378091377,0.22618609734822348
42003523300,"Penn Hills township (Allegheny, PA)",3926,3567824.0,1100.3906022270157,3909,275.1,70.07131940906775,2,false,44.1045378071722,0.7868461697396465
42003474203,,4844,4407424.0,1099.0546859117708,0,0.0,0.0,2,false,44.04184127829976,-1.653616135854398
42003552200,"McKeesport city (Allegheny, PA)",890,809820.0,1099.0096564668693,3500,15.5,17.415730337078653,2,false,44.039728172351914,-0.4361118165458171
42003161000,Mt. Oliver,2902,2646060.0,1096.7249419892219,3543,231.85000000000002,79.89317711922813,2,false,43.93252940442778,0.7145153750786721
42003413201,"McCandless township (Allegheny, PA)",4085,3779879.0,1080.7224252416547,621,42.6,10.428396572827417,2,false,43.18260276192112,-0.005764806962279101
42003429500,"Ross township (Allegheny, PA)",4428,4117962.0,1075.289184310103,6831,379.15,85.62556458897922,2,false,42.92834945306901,0.9372101092649614
42003401200,"Harrison township (Allegheny, PA)",2812,2616123.0,1074.8730086467647,175,0.2,0.07112375533428165,2,false,42.90888181643197,-1.5633711314544694
42003503002,"White Oak borough (Allegheny, PA)",5771,5396855.0,1069.3264873708856,421,12.75,2.2093224744411715,2,false,42.64953422153511,-0.5016769156004763
42003429201,"Ross township (Allegheny, PA)",4978,4689842.0,1061.443008101339,2347,14.7,2.9529931699477703,2,false,42.28124960851831,-0.440400138743106
42003474101,"Upper St. Clair township (Allegheny, PA)",4247,4058871.0,1046.350081093979,140,0.0,0.0,2,false,41.5772770124585,-1.6291778831173795
42003492900,"Clairton city (Allegheny, PA)",1756,1678348.0,1046.2669243804028,3330,120.65,68.70728929384966,2,false,41.57340243077687,0.4559737532502992
42003489002,"Pleasant Hills borough (Allegheny, PA)",3620,3460667.0,1046.0411244421957,412,18.75,5.179558011049724,2,false,41.562881794164106,-0.3334639249855418
42003429600,"Ross township (Allegheny, PA)",3601,3443795.0,1045.6487682919571,2530,26.2,7.275756734240489,2,false,41.54460163173836,-0.19427555744202607
42003429202,"Ross township (Allegheny, PA)",4514,4349598.0,1037.7970561877214,2351,13.2,2.924235711120957,2,false,41.178994186446246,-0.47280787482115927
42003451102,"Moon township (Allegheny, PA)",6088,5963556.0,1020.8674153474874,745,12.25,2.01215505913272,2,false,40.392049708909006,-0.49470105465675207
42003480400,"Baldwin borough (Allegheny, PA)",5119,5019302.0,1019.8629211790803,1680,29.150000000000002,5.694471576479782,2,false,40.34541673177661,-0.137140057184576
42003413400,"McCandless township (Allegheny, PA)",4442,4394219.0,1010.8736046155188,4363,44.45,10.006753714542999,2,false,39.92839091196944,0.04550921674094299
